Date,Price,Open,High,Low,Vol.,Change %
2000-01-03,51.67,51.25,52.93,51.25,350.02K,0.82%
2000-01-04,48.73,50.41,50.83,48.73,803.65K,-5.69%
2000-01-05,47.89,47.47,48.31,46.21,1.05M,-1.72%
2000-01-06,47.89,47.89,48.31,47.47,458.78K,0.00%
2000-01-07,48.73,48.73,49.15,48.31,364.44K,1.75%
2000-01-10,48.73,49.57,49.57,48.31,250.11K,0.00%
2000-01-11,48.73,47.89,48.73,47.47,733.84K,0.00%
2000-01-12,47.47,48.31,48.73,47.47,216.64K,-2.59%
2000-01-13,48.73,47.89,48.73,47.89,277.53K,2.65%
2000-01-14,48.31,48.73,49.57,47.89,616.50K,-0.86%
2000-01-17,49.15,49.57,49.57,48.31,696.88K,1.74%
2000-01-18,47.89,49.15,49.15,47.89,1.29M,-2.56%
2000-01-19,48.31,47.89,48.31,47.89,1.41M,0.88%
2000-01-20,49.15,48.31,49.15,47.89,1.01M,1.74%
2000-01-21,48.73,48.31,49.99,48.31,542.41K,-0.85%
2000-01-24,48.73,48.31,49.15,48.31,1.48M,0.00%
2000-01-25,47.89,47.89,48.31,47.47,771.14K,-1.72%
2000-01-26,47.89,48.73,48.73,46.63,443.24K,0.00%
2000-01-27,48.31,47.89,48.73,47.89,419.96K,0.88%
2000-01-28,47.89,47.89,48.73,46.63,490.61K,-0.87%
2000-01-31,46.21,47.47,47.89,46.21,628.31K,-3.51%
2000-02-01,44.95,46.21,47.05,44.53,1.06M,-2.73%
2000-02-02,46.21,44.95,46.21,44.95,530.48K,2.80%
2000-02-03,45.37,46.21,46.21,44.95,384.30K,-1.82%
2000-02-04,44.95,44.95,45.37,44.53,637.94K,-0.93%
2000-02-07,44.95,45.37,45.37,44.53,245.50K,0.00%
2000-02-08,45.37,44.95,45.37,44.11,375.81K,0.93%
2000-02-09,44.11,44.53,45.37,44.11,385.94K,-2.78%
2000-02-10,44.53,44.11,44.53,43.27,761.16K,0.95%
2000-02-11,43.27,44.53,44.53,43.27,343.51K,-2.83%
2000-02-14,45.37,43.69,45.79,42.85,496.01K,4.85%
2000-02-15,44.95,45.37,45.37,44.11,303.23K,-0.93%
2000-02-16,44.53,45.37,45.37,43.69,930.73K,-0.93%
2000-02-17,44.95,44.53,44.95,43.69,248.95K,0.94%
2000-02-18,43.27,44.53,44.95,43.27,1.05M,-3.74%
2000-02-21,43.27,43.27,43.69,42.85,367.66K,0.00%
2000-02-22,44.11,43.69,44.11,43.27,595.75K,1.94%
