"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2025","237.00","236.00","238.40","235.80","2.56M","0.77%"
"12/29/2025","235.20","231.60","235.40","231.50","2.11M","1.38%"
"12/23/2025","232.00","228.00","232.80","228.00","1.84M","0.78%"
"12/22/2025","230.20","233.50","234.90","228.80","3.01M","-0.82%"
"12/19/2025","232.10","230.60","233.90","230.40","6.22M","0.09%"
"12/18/2025","231.90","233.60","234.90","231.60","2.62M","-0.09%"
"12/17/2025","232.10","228.80","234.00","228.80","3.38M","2.25%"
"12/16/2025","227.00","230.00","231.10","227.00","2.57M","-2.32%"
"12/15/2025","232.40","234.10","234.80","231.80","2.63M","-0.13%"
"12/12/2025","232.70","230.10","234.10","229.50","2.32M","0.47%"
"12/11/2025","231.60","230.30","232.20","228.50","2.61M","0.70%"
"12/10/2025","230.00","234.10","235.50","230.00","2.81M","-1.75%"
"12/09/2025","234.10","235.30","237.20","234.10","2.88M","-0.51%"
"12/08/2025","235.30","233.00","236.20","232.70","2.24M","-0.13%"
"12/05/2025","235.60","234.20","235.90","233.60","2.28M","0.17%"
"12/04/2025","235.20","235.50","236.20","234.10","2.09M","0.34%"
"12/03/2025","234.40","232.00","235.30","231.80","2.53M","1.65%"
"12/02/2025","230.60","232.90","233.10","228.60","2.89M","-0.86%"
"12/01/2025","232.60","234.00","234.30","230.30","2.71M","-0.21%"
"11/28/2025","233.10","232.40","233.60","231.40","2.32M","0.56%"
"11/27/2025","231.80","231.40","232.60","230.70","2.50M","0.30%"
"11/26/2025","231.10","231.00","232.40","229.50","2.70M","0.61%"
"11/25/2025","229.70","232.50","233.50","226.40","3.68M","-0.91%"
"11/24/2025","231.80","234.00","234.40","231.10","4.90M","-1.32%"
"11/21/2025","234.90","235.40","236.50","232.80","3.54M","-2.33%"
"11/20/2025","240.50","237.80","241.00","237.30","2.45M","1.91%"
"11/19/2025","236.00","244.40","245.20","235.70","3.75M","-2.36%"
"11/18/2025","241.70","245.00","245.20","241.30","2.48M","-2.07%"
"11/17/2025","246.80","245.30","247.30","245.20","2.03M","0.90%"
"11/14/2025","244.60","241.60","244.60","241.60","3.15M","1.07%"
"11/13/2025","242.00","241.00","242.60","239.80","2.52M","-0.90%"
"11/12/2025","244.20","249.00","250.80","242.80","3.17M","-1.81%"
"11/11/2025","248.70","242.80","248.90","242.80","2.70M","3.02%"
"11/10/2025","241.40","248.10","248.80","240.90","2.49M","-1.83%"
"11/07/2025","245.90","245.30","247.20","244.40","2.19M","0.41%"
"11/06/2025","244.90","244.00","246.60","243.90","2.50M","-0.89%"
"11/05/2025","247.10","242.80","248.70","242.80","2.44M","1.65%"
"11/04/2025","243.10","243.50","243.50","239.80","2.29M","-0.45%"
"11/03/2025","244.20","243.70","245.30","243.20","2.14M","0.91%"
"10/31/2025","242.00","240.50","242.30","239.10","2.59M","-0.25%"
"10/30/2025","242.60","241.00","244.80","240.40","2.17M","0.29%"
"10/29/2025","241.90","238.00","245.20","236.90","3.50M","-0.04%"
"10/28/2025","242.00","242.60","243.40","239.20","2.83M","-0.86%"
"10/27/2025","244.10","244.90","245.20","240.90","2.05M","-0.53%"
"10/24/2025","245.40","248.80","249.50","244.10","2.14M","-1.17%"
"10/23/2025","248.30","244.70","250.60","244.50","4.55M","4.59%"
"10/22/2025","237.40","236.00","238.40","235.80","2.60M","1.15%"
"10/21/2025","234.70","232.90","235.10","232.90","1.80M","0.77%"
"10/20/2025","232.90","232.40","234.90","231.30","2.05M","-0.17%"
"10/17/2025","233.30","231.10","234.20","229.60","3.97M","-1.10%"
"10/16/2025","235.90","234.00","236.60","233.90","2.19M","-0.17%"
"10/15/2025","236.30","234.50","236.30","234.40","2.68M","0.47%"
"10/14/2025","235.20","236.90","237.60","233.20","3.16M","-0.88%"
"10/13/2025","237.30","238.70","240.10","236.70","1.75M","-0.71%"
"10/10/2025","239.00","243.10","243.60","238.20","3.20M","-2.89%"
"10/09/2025","246.10","245.50","249.00","244.60","2.56M","-0.32%"
"10/08/2025","246.90","248.70","250.30","245.00","2.64M","-1.00%"
"10/07/2025","249.40","254.00","255.30","249.00","2.13M","-1.50%"
"10/06/2025","253.20","249.20","253.50","248.80","2.85M","2.26%"
"10/03/2025","247.60","244.00","247.60","243.90","1.74M","0.49%"
"10/02/2025","246.40","244.10","246.90","242.60","2.11M","0.16%"
"10/01/2025","246.00","243.40","247.00","243.30","3.72M","1.07%"
"09/30/2025","243.40","246.40","247.80","243.40","2.55M","-2.52%"
"09/29/2025","249.70","253.10","254.50","249.30","2.54M","-3.03%"
"09/26/2025","257.50","256.50","258.20","255.10","2.11M","0.59%"
"09/25/2025","256.00","255.60","257.80","254.70","2.71M","0.43%"
"09/24/2025","254.90","250.00","256.40","248.00","3.35M","2.45%"
"09/23/2025","248.80","242.90","248.80","242.90","2.29M","3.15%"
"09/22/2025","241.20","241.50","243.20","240.60","2.41M","-0.86%"
"09/19/2025","243.30","243.10","245.40","242.60","8.45M","-0.08%"
"09/18/2025","243.50","242.00","244.40","242.00","2.15M","0.54%"
"09/17/2025","242.20","241.00","242.50","240.20","1.98M","0.25%"
"09/16/2025","241.60","240.20","242.00","237.50","2.34M","0.46%"
"09/15/2025","240.50","240.90","241.90","239.40","2.50M","-0.41%"
"09/12/2025","241.50","238.00","243.40","237.40","3.19M","0.08%"
"09/11/2025","241.30","245.80","247.60","241.10","2.52M","-0.86%"
"09/10/2025","243.40","243.70","244.10","240.30","2.60M","0.08%"
"09/09/2025","243.20","242.40","244.50","242.30","2.39M","0.91%"
"09/08/2025","241.00","241.40","243.30","239.20","3.21M","0.67%"
"09/05/2025","239.40","242.70","243.70","238.70","2.38M","-1.36%"
