"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2025","243.20","243.40","243.80","241.40","377.52K","0.16%"
"12/29/2025","242.80","244.00","244.00","241.80","546.35K","1.08%"
"12/23/2025","240.20","243.40","245.00","240.20","515.44K","-1.31%"
"12/22/2025","243.40","242.60","244.00","241.20","589.11K","0.33%"
"12/19/2025","242.60","239.60","243.60","238.60","2.16M","1.42%"
"12/18/2025","239.20","239.60","240.40","237.80","943.32K","-0.50%"
"12/17/2025","240.40","239.40","240.40","238.20","1.45M","1.69%"
"12/16/2025","236.40","235.60","238.40","234.40","668.64K","0.08%"
"12/15/2025","236.20","232.80","236.60","231.60","688.53K","1.20%"
"12/12/2025","233.40","234.80","235.80","233.00","516.61K","-0.60%"
"12/11/2025","234.80","235.40","235.80","232.80","640.75K","-0.51%"
"12/10/2025","236.00","237.00","237.00","234.20","590.45K","-0.17%"
"12/09/2025","236.40","236.40","237.80","235.20","818.61K","-0.51%"
"12/08/2025","237.60","236.60","237.60","235.60","652.92K","0.34%"
"12/05/2025","236.80","235.60","237.40","235.20","839.21K","0.59%"
"12/04/2025","235.40","234.00","236.80","232.40","766.88K","0.68%"
"12/03/2025","233.80","230.00","233.80","228.40","747.31K","2.10%"
"12/02/2025","229.00","228.60","230.40","227.60","787.72K","0.70%"
"12/01/2025","227.40","229.60","229.80","225.60","1.07M","-0.96%"
"11/28/2025","229.60","228.40","231.00","228.40","1.14M","2.14%"
"11/27/2025","224.80","223.40","226.00","222.80","394.42K","0.63%"
"11/26/2025","223.40","221.40","223.40","220.00","939.58K","1.55%"
"11/25/2025","220.00","218.60","220.80","218.00","813.36K","0.46%"
"11/24/2025","219.00","219.80","220.00","217.20","2.54M","0.27%"
"11/21/2025","218.40","217.80","219.20","216.80","607.25K","0.00%"
"11/20/2025","218.40","219.60","219.80","217.20","372.73K","-0.55%"
"11/19/2025","219.60","218.00","220.80","218.00","547.45K","1.10%"
"11/18/2025","217.20","219.00","219.80","216.60","729.11K","-1.27%"
"11/17/2025","220.00","221.20","221.60","219.80","403.35K","-0.63%"
"11/14/2025","221.40","221.20","222.60","219.40","496.24K","-0.98%"
"11/13/2025","223.60","224.80","225.80","223.20","523.99K","-0.62%"
"11/12/2025","225.00","223.20","225.00","221.20","945.07K","0.63%"
"11/11/2025","223.60","225.20","225.40","223.00","557.57K","-0.71%"
"11/10/2025","225.20","223.80","225.60","221.60","880.92K","0.81%"
"11/07/2025","223.40","225.00","226.20","223.20","486.60K","-0.62%"
"11/06/2025","224.80","226.20","227.60","223.40","720.02K","-0.44%"
"11/05/2025","225.80","227.00","228.80","224.80","1.07M","1.99%"
"11/04/2025","221.40","220.40","223.40","218.60","757.09K","0.09%"
"11/03/2025","221.20","222.00","222.60","220.20","653.60K","-0.63%"
"10/31/2025","222.60","224.80","224.80","222.40","536.36K","-0.45%"
"10/30/2025","223.60","223.60","225.40","222.00","673.51K","-1.84%"
"10/29/2025","227.80","229.00","229.20","226.60","599.72K","0.09%"
"10/28/2025","227.60","229.20","229.40","225.60","563.03K","-0.70%"
"10/27/2025","229.20","230.00","230.40","228.60","383.05K","-0.35%"
"10/24/2025","230.00","230.40","230.80","228.20","434.26K","-0.26%"
"10/23/2025","230.60","229.60","230.60","227.60","565.97K","0.79%"
"10/22/2025","228.80","229.60","231.00","228.40","1.02M","-0.44%"
"10/21/2025","229.80","231.00","232.20","228.20","528.90K","-0.61%"
"10/20/2025","231.20","229.00","231.40","228.40","662.17K","0.96%"
"10/17/2025","229.00","226.60","229.20","224.80","602.43K","0.26%"
"10/16/2025","228.40","227.80","229.60","226.60","807.49K","0.53%"
"10/15/2025","227.20","224.00","227.40","222.40","1.00M","1.79%"
"10/14/2025","223.20","223.00","223.80","221.60","525.12K","0.00%"
"10/13/2025","223.20","221.80","225.00","220.00","807.25K","1.00%"
"10/10/2025","221.00","217.60","222.40","217.60","1.11M","2.31%"
"10/09/2025","216.00","214.00","217.40","214.00","775.55K","1.12%"
"10/08/2025","213.60","214.20","216.40","212.40","589.29K","-0.09%"
"10/07/2025","213.80","213.40","215.00","211.60","508.60K","0.28%"
"10/06/2025","213.20","215.00","215.40","212.00","581.13K","-0.56%"
"10/03/2025","214.40","211.40","214.40","210.20","551.27K","1.71%"
"10/02/2025","210.80","215.60","216.40","210.40","562.17K","-2.23%"
"10/01/2025","215.60","211.00","215.60","211.00","643.75K","2.28%"
"09/30/2025","210.80","211.80","212.20","209.00","645.65K","-0.66%"
"09/29/2025","212.20","213.00","213.40","210.80","767.03K","-0.28%"
"09/26/2025","212.80","213.60","214.00","210.20","675.36K","-0.75%"
"09/25/2025","214.40","215.80","218.00","214.00","722.25K","-1.02%"
"09/24/2025","216.60","217.40","218.20","215.40","614.68K","-0.09%"
"09/23/2025","216.80","216.20","219.60","216.00","568.49K","0.37%"
"09/22/2025","216.00","216.20","217.80","215.20","663.88K","0.37%"
"09/19/2025","215.20","216.20","218.60","214.40","3.15M","-0.74%"
"09/18/2025","216.80","218.00","218.60","214.80","816.63K","-0.55%"
"09/17/2025","218.00","217.60","219.00","217.00","1.03M","0.46%"
"09/16/2025","217.00","218.60","220.00","217.00","785.95K","-0.64%"
"09/15/2025","218.40","217.00","219.20","216.40","796.28K","1.20%"
"09/12/2025","215.80","216.20","217.20","215.00","1.08M","0.00%"
"09/11/2025","215.80","213.00","215.80","212.60","938.07K","1.79%"
"09/10/2025","212.00","206.40","213.80","206.40","1.18M","2.81%"
"09/09/2025","206.20","207.40","207.40","204.00","582.00K","-0.58%"
"09/08/2025","207.40","206.80","208.20","205.00","395.46K","0.48%"
"09/05/2025","206.40","206.00","207.00","204.80","4.63M","0.39%"
"09/04/2025","205.60","204.00","207.80","204.00","618.84K","1.18%"
"09/03/2025","203.20","202.00","204.00","202.00","411.51K","0.20%"
"09/02/2025","202.80","205.60","208.20","201.60","778.04K","-1.65%"
"09/01/2025","206.20","207.00","208.00","205.60","340.24K","-0.19%"
"08/29/2025","206.60","203.80","208.20","202.40","913.87K","0.98%"
"08/28/2025","204.60","204.00","205.60","204.00","540.68K","0.29%"
"08/27/2025","204.00","204.60","205.60","203.80","522.65K","-0.78%"
"08/26/2025","205.60","206.80","207.80","203.80","1.36M","-0.68%"
"08/25/2025","207.00","207.00","207.60","205.60","328.46K","0.00%"
"08/22/2025","207.00","208.00","208.80","205.40","471.70K","-0.58%"
"08/21/2025","208.20","204.20","209.60","204.20","790.49K","1.76%"
"08/20/2025","204.60","210.00","210.80","198.70","725.85K","0.29%"
"08/19/2025","204.00","202.00","205.40","201.40","788.02K","1.09%"
"08/18/2025","201.80","202.40","204.60","201.00","499.73K","-0.30%"
"08/15/2025","202.40","201.20","203.20","201.20","528.90K","0.90%"
"08/14/2025","200.60","202.20","203.80","200.60","422.57K","-0.59%"
"08/13/2025","201.80","203.80","205.00","199.40","521.89K","-0.88%"
"08/12/2025","203.60","204.80","205.40","202.80","577.55K","1.29%"
"08/11/2025","201.00","203.00","204.80","200.20","472.12K","-0.50%"
"08/08/2025","202.00","200.00","204.00","200.00","705.38K","1.35%"
"08/07/2025","199.30","194.80","199.80","194.40","758.51K","2.31%"
"08/06/2025","194.80","195.50","197.60","194.10","587.28K","-0.10%"
"08/05/2025","195.00","193.30","195.40","192.60","517.60K","1.14%"
"08/04/2025","192.80","192.10","195.60","192.10","631.36K","0.89%"
"08/01/2025","191.10","192.40","192.60","190.90","422.62K","-1.24%"
"07/31/2025","193.50","191.20","194.10","190.80","560.92K","0.36%"
"07/30/2025","192.80","194.10","195.40","191.50","682.09K","-0.52%"
"07/29/2025","193.80","196.50","196.50","191.50","776.27K","-1.52%"
"07/28/2025","196.80","198.30","199.60","196.60","375.49K","-0.30%"
"07/25/2025","197.40","199.90","200.20","196.70","361.45K","-1.50%"
"07/24/2025","200.40","197.00","201.60","196.70","789.01K","1.78%"
"07/23/2025","196.90","196.90","197.60","195.40","472.12K","0.66%"
"07/22/2025","195.60","194.20","196.80","194.20","367.48K","0.57%"
"07/21/2025","194.50","193.80","195.10","192.30","472.22K","0.41%"
"07/18/2025","193.70","197.80","197.80","192.10","818.03K","-1.63%"
"07/17/2025","196.90","197.00","198.70","196.00","537.09K","0.15%"
"07/16/2025","196.60","199.60","199.90","195.60","660.60K","-1.80%"
"07/15/2025","200.20","203.00","204.40","199.80","1.10M","3.68%"
"07/14/2025","193.10","189.40","193.30","188.70","618.14K","2.06%"
"07/11/2025","189.20","187.00","191.20","187.00","791.89K","0.58%"
"07/10/2025","188.10","188.30","191.00","187.90","838.45K","-2.23%"
"07/09/2025","192.40","192.00","192.70","190.40","432.74K","0.42%"
"07/08/2025","191.60","190.50","191.80","189.00","538.29K","0.26%"
"07/07/2025","191.10","194.00","194.80","190.40","496.57K","-1.44%"
"07/04/2025","193.90","194.70","195.80","193.70","383.97K","-0.77%"
"07/03/2025","195.40","198.30","198.90","194.70","681.81K","-0.96%"
"07/02/2025","197.30","194.00","200.00","193.70","1.03M","2.02%"
"07/01/2025","193.40","194.90","195.30","192.00","813.57K","-0.62%"
"06/30/2025","194.60","192.90","194.80","192.20","1.15M","0.93%"
"06/27/2025","192.80","191.10","194.70","191.10","804.90K","1.53%"
"06/26/2025","189.90","190.40","191.00","189.20","625.00K","-0.16%"
"06/25/2025","190.20","190.70","191.90","190.10","711.39K","-0.16%"
"06/24/2025","190.50","191.30","192.80","190.00","763.95K","0.85%"
"06/23/2025","188.90","189.00","189.80","186.70","805.79K","-0.53%"
"06/20/2025","189.90","188.80","191.10","187.30","1.77M","0.74%"
"06/19/2025","188.50","184.00","188.50","184.00","821.16K","2.00%"
"06/18/2025","184.80","186.80","187.40","182.60","1.49M","-1.07%"
"06/17/2025","186.80","187.20","189.10","186.70","836.41K","-1.11%"
"06/16/2025","188.90","188.30","188.90","186.40","662.74K","0.27%"
"06/13/2025","188.40","188.00","190.00","187.50","1.10M","-1.05%"
"06/12/2025","190.40","191.00","191.70","188.00","956.53K","-0.99%"
"06/11/2025","192.30","193.10","193.10","191.10","674.08K","-0.10%"
"06/10/2025","192.50","191.20","194.10","191.20","955.35K","0.68%"
"06/06/2025","191.20","187.60","193.20","187.60","1.06M","2.08%"
"06/05/2025","187.30","186.80","188.10","185.90","872.36K","0.05%"
"06/04/2025","187.20","185.60","189.60","185.30","1.14M","0.92%"
"06/03/2025","185.50","188.40","189.20","185.40","849.34K","-1.33%"
"06/02/2025","188.00","189.10","189.20","185.70","1.36M","-1.36%"
"05/30/2025","190.60","188.90","190.60","188.10","6.02M","1.01%"
"05/28/2025","188.70","192.20","192.70","187.90","784.83K","-1.67%"
"05/27/2025","191.90","189.80","192.80","189.40","1.04M","1.37%"
"05/26/2025","189.30","190.00","191.30","189.10","489.27K","0.37%"
"05/23/2025","188.60","187.50","190.20","185.20","1.03M","-0.05%"
"05/22/2025","188.70","194.50","194.50","187.60","1.12M","-3.18%"
"05/21/2025","194.90","191.00","196.50","191.00","1.17M","2.04%"
"05/20/2025","191.00","192.40","192.70","188.20","1.70M","-0.68%"
"05/19/2025","192.30","193.00","193.20","190.70","695.48K","-0.77%"
"05/16/2025","193.80","192.40","197.00","191.40","1.59M","1.04%"
"05/15/2025","191.80","188.40","193.10","187.30","1.94M","1.37%"
"05/14/2025","189.20","190.00","193.10","187.40","1.42M","0.00%"
"05/13/2025","189.20","189.20","190.40","188.20","778.08K","0.26%"
"05/12/2025","188.70","189.10","189.40","187.00","727.44K","0.59%"
"05/09/2025","187.60","187.00","189.40","186.00","613.02K","0.64%"
"05/08/2025","186.40","186.90","187.60","186.00","797.79K","-0.11%"
"05/07/2025","186.60","187.20","187.60","184.70","1.08M","-0.32%"
"05/06/2025","187.20","190.40","190.60","186.60","1.53M","-2.80%"
"05/05/2025","192.60","193.10","194.20","191.90","570.09K","-0.36%"
"05/02/2025","193.30","191.90","193.30","190.30","930.78K","1.68%"
"04/30/2025","190.10","189.60","191.40","188.00","1.14M","0.58%"
"04/29/2025","189.00","187.80","189.80","186.50","909.34K","0.91%"
"04/28/2025","187.30","185.40","187.30","184.30","1.33M","1.35%"
"04/25/2025","184.80","189.70","192.10","183.70","1.76M","-4.20%"
