"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2025","112.50","112.70","113.20","112.40","1.43M","-0.09%"
"12/29/2025","112.60","112.30","113.00","112.00","984.21K","0.54%"
"12/23/2025","112.00","111.60","112.70","111.60","1.10M","0.36%"
"12/22/2025","111.60","112.20","112.60","111.50","1.18M","-0.98%"
"12/19/2025","112.70","111.80","113.30","111.70","2.99M","0.09%"
"12/18/2025","112.60","111.90","113.20","111.90","1.54M","0.90%"
"12/17/2025","111.60","112.00","112.50","110.60","1.42M","0.18%"
"12/16/2025","111.40","111.30","112.50","111.30","1.53M","0.18%"
"12/15/2025","111.20","109.10","111.90","109.10","1.50M","1.83%"
"12/12/2025","109.20","109.70","110.00","108.90","963.26K","-0.55%"
"12/11/2025","109.80","109.20","110.30","109.00","1.40M","0.73%"
"12/10/2025","109.00","108.90","109.00","108.30","1.16M","-0.09%"
"12/09/2025","109.10","106.50","109.20","106.40","1.65M","2.15%"
"12/08/2025","106.80","107.40","107.70","106.80","1.29M","-0.74%"
"12/05/2025","107.60","107.50","108.00","107.40","1.39M","-0.09%"
"12/04/2025","107.70","107.00","108.00","106.50","1.24M","0.56%"
"12/03/2025","107.10","107.40","108.00","107.00","1.22M","-0.46%"
"12/02/2025","107.60","108.30","108.50","107.60","1.08M","-0.09%"
"12/01/2025","107.70","108.30","108.40","107.50","1.44M","-0.55%"
"11/28/2025","108.30","108.00","109.00","107.90","1.69M","0.19%"
"11/27/2025","108.10","108.40","108.80","108.10","863.68K","-0.18%"
"11/26/2025","108.30","107.30","109.10","107.30","1.26M","0.93%"
"11/25/2025","107.30","106.10","107.80","106.10","1.30M","1.13%"
"11/24/2025","106.10","106.40","106.90","106.10","3.79M","0.00%"
"11/21/2025","106.10","104.80","106.50","104.40","1.43M","1.63%"
"11/20/2025","104.40","105.10","105.30","104.20","972.14K","-0.57%"
"11/19/2025","105.00","104.40","105.80","104.40","884.59K","0.77%"
"11/18/2025","104.20","106.10","106.30","104.20","1.64M","-1.98%"
"11/17/2025","106.30","107.50","107.50","105.30","950.47K","-0.75%"
"11/14/2025","107.10","108.70","109.30","105.60","1.99M","4.59%"
"11/13/2025","102.40","103.70","104.40","102.40","1.12M","-1.06%"
"11/12/2025","103.50","103.00","103.50","102.10","1.44M","1.47%"
"11/11/2025","102.00","101.50","102.00","100.90","1.07M","0.79%"
"11/10/2025","101.20","101.00","101.80","100.60","836.07K","0.10%"
"11/07/2025","101.10","102.00","102.30","100.70","1.39M","-0.88%"
"11/06/2025","102.00","102.50","103.20","101.80","656.46K","-0.58%"
"11/05/2025","102.60","103.70","103.90","102.60","862.36K","-1.06%"
"11/04/2025","103.70","103.80","103.80","102.20","625.71K","-0.10%"
"11/03/2025","103.80","102.70","104.00","102.10","666.52K","1.07%"
"10/31/2025","102.70","103.60","103.80","102.10","962.44K","-0.39%"
"10/30/2025","103.10","103.10","104.30","103.10","618.02K","-0.67%"
"10/29/2025","103.80","105.80","106.00","103.80","840.81K","-1.89%"
"10/28/2025","105.80","106.40","106.90","105.80","869.56K","-0.19%"
"10/27/2025","106.00","106.40","106.50","105.90","718.19K","-0.38%"
"10/24/2025","106.40","105.90","106.90","105.60","606.37K","0.19%"
"10/23/2025","106.20","106.00","106.50","105.70","719.02K","-0.09%"
"10/22/2025","106.30","106.80","106.80","106.00","632.00K","-0.28%"
"10/21/2025","106.60","106.10","106.90","106.00","578.97K","0.57%"
"10/20/2025","106.00","105.10","106.10","105.10","1.02M","0.19%"
"10/17/2025","105.80","106.00","106.00","104.90","972.90K","-0.28%"
"10/16/2025","106.10","105.40","106.10","104.50","1.27M","0.95%"
"10/15/2025","105.10","104.10","105.10","103.30","1.45M","1.06%"
"10/14/2025","104.00","103.10","104.90","103.00","1.14M","1.36%"
"10/13/2025","102.60","104.00","104.00","101.90","725.68K","-1.54%"
"10/10/2025","104.20","103.20","104.20","103.00","967.43K","1.36%"
"10/09/2025","102.80","102.10","103.70","102.10","663.85K","0.59%"
"10/08/2025","102.20","102.40","102.60","101.80","828.20K","0.00%"
"10/07/2025","102.20","102.70","102.70","101.80","1.32M","0.00%"
"10/06/2025","102.20","102.60","102.80","102.10","765.62K","-0.68%"
"10/03/2025","102.90","103.50","103.80","102.50","859.83K","-0.48%"
"10/02/2025","103.40","104.80","105.00","103.20","683.62K","-1.52%"
"10/01/2025","105.00","104.10","105.00","104.10","925.55K","0.77%"
"09/30/2025","104.20","103.60","104.50","103.40","881.41K","0.39%"
"09/29/2025","103.80","104.00","104.60","103.60","705.61K","-0.10%"
"09/26/2025","103.90","104.00","104.60","103.80","729.13K","0.19%"
"09/25/2025","103.70","103.60","104.80","103.50","883.92K","-0.10%"
"09/24/2025","103.80","103.80","104.40","103.50","1.14M","0.29%"
"09/23/2025","103.50","105.40","105.50","103.50","1.06M","-1.99%"
"09/22/2025","105.60","105.80","106.20","105.30","674.29K","-0.28%"
"09/19/2025","105.90","106.50","106.80","105.90","3.78M","-0.75%"
"09/18/2025","106.70","107.30","107.40","106.40","857.26K","-0.56%"
"09/17/2025","107.30","108.30","108.60","107.30","1.16M","-0.92%"
"09/16/2025","108.30","110.80","110.80","108.30","1.13M","-2.70%"
"09/15/2025","111.30","113.40","113.40","111.10","643.92K","-1.77%"
"09/12/2025","113.30","113.60","113.70","113.10","461.46K","-0.18%"
"09/11/2025","113.50","113.20","114.30","113.20","773.78K","0.35%"
"09/10/2025","113.10","113.90","114.30","113.10","764.33K","-0.79%"
"09/09/2025","114.00","113.60","114.30","113.20","681.58K","0.62%"
"09/08/2025","113.30","113.00","113.60","112.60","531.29K","0.00%"
"09/05/2025","113.30","114.20","114.50","112.70","712.04K","-0.79%"
"09/04/2025","114.20","112.10","114.70","112.10","689.00K","1.87%"
"09/03/2025","112.10","111.00","112.30","111.00","957.74K","0.72%"
"09/02/2025","111.30","111.90","112.30","111.10","751.06K","-0.89%"
"09/01/2025","112.30","112.40","112.90","111.90","462.32K","0.00%"
"08/29/2025","112.30","111.20","112.60","110.90","1.13M","1.17%"
"08/28/2025","111.00","112.50","112.70","110.80","628.06K","-1.42%"
"08/27/2025","112.60","113.10","113.40","112.60","568.40K","-0.44%"
"08/26/2025","113.10","114.00","114.00","112.90","2.14M","-1.14%"
"08/25/2025","114.40","114.50","114.90","114.00","657.44K","-0.09%"
"08/22/2025","114.50","115.20","115.50","114.10","729.99K","-0.61%"
"08/21/2025","115.20","115.30","115.90","114.40","810.70K","-0.17%"
"08/20/2025","115.40","113.30","115.70","113.00","956.56K","2.58%"
"08/19/2025","112.50","112.00","112.90","111.70","719.06K","0.81%"
"08/18/2025","111.60","112.10","112.30","111.30","465.50K","-0.36%"
"08/15/2025","112.00","112.60","112.70","111.40","692.61K","0.00%"
"08/14/2025","112.00","111.70","112.70","111.40","488.47K","0.45%"
"08/13/2025","111.50","111.20","111.90","110.70","756.49K","0.45%"
"08/12/2025","111.00","111.10","111.70","110.90","462.45K","0.00%"
"08/11/2025","111.00","110.50","111.20","110.50","564.22K","0.63%"
"08/08/2025","110.30","110.40","110.80","110.00","579.53K","0.27%"
"08/07/2025","110.00","109.00","110.10","109.00","721.95K","0.82%"
"08/06/2025","109.10","110.10","110.10","108.80","976.96K","-0.91%"
"08/05/2025","110.10","109.60","110.80","109.30","1.16M","0.73%"
"08/04/2025","109.30","108.50","109.80","108.30","857.34K","0.92%"
"08/01/2025","108.30","108.80","109.50","108.30","563.23K","-0.64%"
"07/31/2025","109.00","108.40","109.50","108.40","1.05M","0.55%"
"07/30/2025","108.40","108.00","108.90","107.90","506.67K","0.37%"
"07/29/2025","108.00","107.10","108.10","106.80","865.48K","0.56%"
"07/28/2025","107.40","108.00","108.30","107.30","698.04K","-0.28%"
"07/25/2025","107.70","108.60","109.00","107.40","554.27K","-0.65%"
"07/24/2025","108.40","108.40","109.30","107.80","857.85K","-0.09%"
"07/23/2025","108.50","108.60","108.90","107.70","975.57K","0.28%"
"07/22/2025","108.20","107.90","108.60","107.90","635.01K","0.09%"
"07/21/2025","108.10","109.50","109.50","107.90","589.81K","-1.37%"
"07/18/2025","109.60","110.50","110.50","109.10","1.12M","-0.99%"
"07/17/2025","110.70","109.00","110.70","108.50","1.47M","1.84%"
"07/16/2025","108.70","108.40","109.00","107.80","1.10M","0.56%"
"07/15/2025","108.10","109.30","109.40","107.80","1.82M","0.37%"
"07/14/2025","107.70","107.00","108.60","104.00","1.02M","0.37%"
"07/11/2025","107.30","107.20","107.30","106.10","889.20K","0.66%"
"07/10/2025","106.60","106.80","107.20","106.40","1.30M","-0.19%"
"07/09/2025","106.80","107.20","107.60","106.60","947.93K","-0.19%"
"07/08/2025","107.00","107.00","107.00","106.50","920.14K","-0.09%"
"07/07/2025","107.10","107.70","107.80","106.70","726.72K","-0.46%"
"07/04/2025","107.60","107.60","107.90","107.10","564.98K","0.00%"
"07/03/2025","107.60","108.70","108.70","107.60","1.11M","-0.28%"
"07/02/2025","107.90","109.40","109.40","107.20","1.02M","-0.92%"
"07/01/2025","108.90","110.00","110.00","108.90","678.28K","-0.64%"
"06/30/2025","109.60","109.30","110.00","108.90","1.72M","0.83%"
"06/27/2025","108.70","108.00","109.40","108.00","723.21K","0.93%"
"06/26/2025","107.70","107.80","107.80","107.00","1.29M","-0.28%"
"06/25/2025","108.00","107.60","108.80","107.60","913.21K","0.19%"
"06/24/2025","107.80","108.70","109.00","107.60","1.60M","-0.37%"
"06/23/2025","108.20","108.20","108.90","107.80","934.64K","-0.55%"
"06/20/2025","108.80","109.00","109.30","108.70","1.96M","-0.09%"
"06/19/2025","108.90","107.90","109.30","107.90","666.83K","0.55%"
"06/18/2025","108.30","107.30","108.40","107.00","1.09M","0.84%"
"06/17/2025","107.40","108.00","108.20","107.40","944.30K","-1.20%"
"06/16/2025","108.70","109.90","110.00","108.40","1.14M","-1.18%"
"06/13/2025","110.00","110.30","110.30","109.30","753.98K","-0.27%"
"06/12/2025","110.30","110.30","111.40","109.90","1.31M","0.00%"
"06/11/2025","110.30","114.20","114.30","110.30","1.90M","-4.00%"
"06/10/2025","114.90","115.50","115.50","114.30","1.50M","-0.09%"
"06/06/2025","115.00","115.30","116.00","114.80","641.13K","-0.17%"
"06/05/2025","115.20","114.60","115.60","114.60","941.33K","0.44%"
"06/04/2025","114.70","114.30","115.10","113.80","815.08K","0.35%"
"06/03/2025","114.30","115.50","115.70","114.30","1.45M","-0.44%"
"06/02/2025","114.80","115.50","115.80","114.40","1.25M","-0.69%"
"05/30/2025","115.60","115.50","116.60","115.40","5.14M","0.17%"
"05/28/2025","115.40","116.00","116.10","115.00","1.19M","-0.26%"
"05/27/2025","115.70","116.40","116.40","115.00","1.02M","-0.26%"
"05/26/2025","116.00","115.10","116.00","114.90","823.37K","1.13%"
"05/23/2025","114.70","114.10","115.20","113.70","1.21M","0.70%"
"05/22/2025","113.90","114.90","114.90","113.70","1.05M","-0.70%"
"05/21/2025","114.70","114.60","115.20","113.70","1.61M","0.09%"
