Date,Price,Open,High,Low,Change %
2000-01-03,6.26,6.26,6.26,6.26,1.72%
2000-01-04,6.32,6.32,6.32,6.32,0.96%
2000-01-05,6.3,6.3,6.3,6.3,-0.32%
2000-01-06,6.36,6.36,6.36,6.36,0.95%
2000-01-07,6.31,6.31,6.31,6.31,-0.79%
2000-01-10,6.28,6.28,6.28,6.28,-0.48%
2000-01-11,6.4,6.4,6.4,6.4,1.91%
2000-01-12,6.43,6.43,6.43,6.43,0.47%
2000-01-13,6.43,6.43,6.43,6.43,0.00%
2000-01-14,6.36,6.36,6.36,6.36,-1.09%
2000-01-17,6.38,6.38,6.38,6.38,0.31%
2000-01-18,6.46,6.46,6.46,6.46,1.25%
2000-01-19,6.43,6.43,6.43,6.43,-0.46%
2000-01-20,6.42,6.42,6.42,6.42,-0.16%
2000-01-21,6.41,6.41,6.41,6.41,-0.16%
2000-01-24,6.39,6.39,6.39,6.39,-0.31%
2000-01-25,6.34,6.34,6.34,6.34,-0.78%
2000-01-26,6.34,6.34,6.34,6.34,0.00%
2000-01-27,6.4,6.4,6.4,6.4,0.95%
2000-01-28,6.41,6.41,6.41,6.41,0.16%
2000-01-31,6.38,6.38,6.38,6.38,-0.47%
2000-02-01,6.3,6.3,6.3,6.3,-1.25%
2000-02-02,6.29,6.29,6.29,6.29,-0.16%
2000-02-03,6.33,6.33,6.33,6.33,0.64%
2000-02-04,6.3,6.3,6.3,6.3,-0.47%
2000-02-07,6.34,6.34,6.34,6.34,0.63%
2000-02-08,6.32,6.32,6.32,6.32,-0.32%
2000-02-09,6.33,6.33,6.33,6.33,0.16%
2000-02-10,6.36,6.36,6.36,6.36,0.47%
2000-02-11,6.41,6.41,6.41,6.41,0.79%
2000-02-14,6.38,6.38,6.38,6.38,-0.47%
2000-02-15,6.39,6.39,6.39,6.39,0.16%
2000-02-16,6.4,6.4,6.4,6.4,0.16%
2000-02-17,6.37,6.37,6.37,6.37,-0.47%
2000-02-18,6.39,6.39,6.39,6.39,0.31%
2000-02-21,6.35,6.35,6.35,6.35,-0.63%
2000-02-22,6.3,6.3,6.3,6.3,-0.79%
2000-02-23,6.29,6.29,6.29,6.29,-0.16%
2000-02-24,6.28,6.28,6.28,6.28,-0.16%
2000-02-25,6.28,6.28,6.28,6.28,0.00%
2000-02-28,6.32,6.32,6.32,6.32,0.64%
2000-02-29,6.35,6.35,6.35,6.35,0.47%
2000-03-01,6.32,6.32,6.32,6.32,-0.47%
2000-03-02,6.34,6.34,6.34,6.34,0.32%
2000-03-03,6.3,6.3,6.3,6.3,-0.63%
2000-03-06,6.31,6.31,6.31,6.31,0.16%
2000-03-07,6.29,6.29,6.29,6.29,-0.32%
2000-03-08,6.28,6.28,6.28,6.28,-0.16%
2000-03-09,6.15,6.15,6.15,6.15,-2.07%
2000-03-10,6.12,6.12,6.12,6.12,-0.49%
2000-03-13,6.06,6.06,6.06,6.06,-0.98%
2000-03-14,6.1,6.1,6.1,6.1,0.66%
2000-03-15,6.12,6.12,6.12,6.12,0.33%
2000-03-16,6.1,6.1,6.1,6.1,-0.33%
2000-03-17,6.09,6.09,6.09,6.09,-0.16%
2000-03-20,6.01,6.01,6.01,6.01,-1.31%
2000-03-21,6.02,6.02,6.02,6.02,0.17%
2000-03-22,6.06,6.06,6.06,6.06,0.66%
2000-03-23,6.04,6.04,6.04,6.04,-0.33%
2000-03-24,6.09,6.09,6.09,6.09,0.83%
2000-03-27,6.19,6.19,6.19,6.19,1.64%
2000-03-28,6.1,6.1,6.1,6.1,-1.45%
2000-03-29,6.15,6.15,6.15,6.15,0.82%
2000-03-30,6.11,6.11,6.11,6.11,-0.65%
2000-03-31,6.11,6.11,6.11,6.11,0.00%
2000-04-03,6.08,6.08,6.08,6.08,-0.49%
2000-04-04,6.06,6.06,6.06,6.06,-0.33%
2000-04-05,6.02,6.02,6.02,6.02,-0.66%
2000-04-06,6.11,6.11,6.11,6.11,1.50%
2000-04-07,6.11,6.11,6.11,6.11,0.00%
2000-04-10,6.059,6.059,6.059,6.059,-0.83%
2000-04-11,6.02,6.02,6.02,6.02,-0.64%
2000-04-12,6.05,6.05,6.05,6.05,0.50%
2000-04-13,6.07,6.07,6.07,6.07,0.33%
2000-04-14,6.1,6.1,6.1,6.1,0.49%
2000-04-17,6.09,6.09,6.09,6.09,-0.16%
2000-04-18,6.11,6.11,6.11,6.11,0.33%
2000-04-19,6.13,6.13,6.13,6.13,0.33%
2000-04-20,6.145,6.145,6.145,6.145,0.24%
2000-04-25,6.19,6.19,6.19,6.19,0.73%
2000-04-26,6.2,6.2,6.2,6.2,0.16%
2000-04-27,6.17,6.17,6.17,6.17,-0.48%
2000-04-28,6.21,6.21,6.21,6.21,0.65%
2000-05-01,6.219,6.219,6.219,6.219,0.14%
2000-05-02,6.25,6.25,6.25,6.25,0.50%
2000-05-03,6.3,6.3,6.3,6.3,0.80%
2000-05-04,6.36,6.36,6.36,6.36,0.95%
2000-05-05,6.34,6.34,6.34,6.34,-0.31%
2000-05-08,6.3,6.3,6.3,6.3,-0.63%
2000-05-09,6.3,6.3,6.3,6.3,0.00%
2000-05-10,6.21,6.21,6.21,6.21,-1.43%
2000-05-11,6.27,6.27,6.27,6.27,0.97%
2000-05-12,6.27,6.27,6.27,6.27,0.00%
2000-05-15,6.27,6.27,6.27,6.27,0.00%
2000-05-16,6.26,6.26,6.26,6.26,-0.16%
2000-05-17,6.267,6.267,6.267,6.267,0.11%
2000-05-18,6.33,6.33,6.33,6.33,1.01%
2000-05-19,6.36,6.36,6.36,6.36,0.47%
2000-05-22,6.27,6.27,6.27,6.27,-1.42%
2000-05-23,6.25,6.25,6.25,6.25,-0.32%
2000-05-24,6.21,6.21,6.21,6.21,-0.64%
2000-05-25,6.22,6.22,6.22,6.22,0.16%
2000-05-26,6.15,6.15,6.15,6.15,-1.13%
2000-05-29,6.18,6.18,6.18,6.18,0.49%
2000-05-30,6.18,6.18,6.18,6.18,0.00%
2000-05-31,6.18,6.18,6.18,6.18,0.00%
2000-06-01,6.207,6.207,6.207,6.207,0.44%
2000-06-02,6.04,6.04,6.04,6.04,-2.69%
2000-06-05,6.08,6.08,6.08,6.08,0.66%
2000-06-06,6.02,6.02,6.02,6.02,-0.99%
2000-06-07,6.06,6.06,6.06,6.06,0.66%
2000-06-08,6.09,6.09,6.09,6.09,0.50%
2000-06-09,6.09,6.09,6.09,6.09,0.00%
2000-06-12,6.085,6.085,6.085,6.085,-0.08%
2000-06-13,6.06,6.06,6.06,6.06,-0.41%
2000-06-14,6.08,6.08,6.08,6.08,0.33%
