Date,Price,Open,High,Low,Vol.,Change %
2000-01-03,149.69,149.69,149.69,149.69,,1.75%
2000-01-04,145.27,145.27,145.27,145.27,,-2.95%
2000-01-05,141.41,141.41,141.41,141.41,,-2.66%
2000-01-06,141.77,141.77,141.77,141.77,,0.25%
2000-01-07,143.79,143.79,143.79,143.79,,1.42%
2000-01-10,147.38,147.38,147.38,147.38,,2.50%
2000-01-11,146.07,146.07,146.07,146.07,,-0.89%
2000-01-12,143.03,143.03,143.03,143.03,,-2.08%
2000-01-13,145.84,145.84,145.84,145.84,,1.96%
2000-01-14,146.52,146.52,146.52,146.52,,0.47%
2000-01-17,146.16,146.16,146.16,146.16,,-0.25%
2000-01-18,145.73,145.73,145.73,145.73,,-0.29%
2000-01-19,145.29,145.29,145.29,145.29,,-0.30%
2000-01-20,145.51,145.51,145.51,145.51,,0.15%
2000-01-21,145.54,145.54,145.54,145.54,,0.02%
2000-01-24,147.14,147.14,147.14,147.14,,1.10%
2000-01-25,143.92,143.92,143.92,143.92,,-2.19%
2000-01-26,144.89,144.89,144.89,144.89,,0.67%
2000-01-27,144.87,144.87,144.87,144.87,,-0.01%
2000-01-28,144.01,144.01,144.01,144.01,,-0.59%
2000-01-31,139.54,139.54,139.54,139.54,,-3.10%
2000-02-01,139.22,139.22,139.22,139.22,,-0.23%
2000-02-02,141.37,141.37,141.37,141.37,,1.54%
2000-02-03,143.20,143.20,143.20,143.20,,1.29%
2000-02-04,143.52,143.52,143.52,143.52,,0.22%
2000-02-07,143.19,143.19,143.19,143.19,,-0.23%
2000-02-08,144.77,144.77,144.77,144.77,,1.10%
2000-02-09,143.18,143.18,143.18,143.18,,-1.10%
2000-02-10,145.12,145.12,145.12,145.12,,1.35%
2000-02-11,144.98,144.98,144.98,144.98,,-0.10%
2000-02-14,145.90,145.90,145.90,145.90,,0.63%
2000-02-15,144.52,144.52,144.52,144.52,,-0.95%
2000-02-16,144.12,144.12,144.12,144.12,,-0.28%
2000-02-17,143.48,143.48,143.48,143.48,,-0.44%
2000-02-18,144.35,144.35,144.35,144.35,,0.61%
2000-02-21,143.46,143.46,143.46,143.46,,-0.62%
2000-02-22,144.36,144.36,144.36,144.36,,0.63%
2000-02-23,146.92,146.92,146.92,146.92,,1.77%
2000-02-24,146.88,146.88,146.88,146.88,,-0.03%
2000-02-25,146.53,146.53,146.53,146.53,,-0.24%
2000-02-28,145.22,145.22,145.22,145.22,,-0.89%
2000-02-29,146.07,146.07,146.07,146.07,,0.59%
2000-03-01,150.77,150.77,150.77,150.77,,3.22%
2000-03-02,150.82,150.82,150.82,150.82,,0.03%
2000-03-03,151.84,151.84,151.84,151.84,,0.68%
2000-03-06,152.81,152.81,152.81,152.81,,0.64%
2000-03-07,157.52,157.52,157.52,157.52,,3.08%
2000-03-08,155.96,155.96,155.96,155.96,,-0.99%
2000-03-09,155.31,155.31,155.31,155.31,,-0.42%
2000-03-10,154.61,154.61,154.61,154.61,,-0.45%
2000-03-13,149.70,149.70,149.70,149.70,,-3.18%
2000-03-14,151.37,151.37,151.37,151.37,,1.12%
2000-03-15,148.67,148.67,148.67,148.67,,-1.78%
2000-03-16,148.38,148.38,148.38,148.38,,-0.20%
2000-03-17,148.27,148.27,148.27,148.27,,-0.07%
2000-03-20,148.79,148.79,148.79,148.79,,0.35%
2000-03-21,147.39,147.39,147.39,147.39,,-0.94%
2000-03-22,148.00,148.00,148.00,148.00,,0.41%
2000-03-23,149.35,149.35,149.35,149.35,,0.91%
2000-03-24,149.13,149.13,149.13,149.13,,-0.15%
2000-03-27,147.75,147.75,147.75,147.75,,-0.93%
2000-03-28,147.64,147.64,147.64,147.64,,-0.07%
2000-03-29,145.83,145.83,145.83,145.83,,-1.23%
2000-03-30,144.36,144.36,144.36,144.36,,-1.01%
2000-03-31,148.14,148.14,148.14,148.14,,2.62%
2000-04-03,148.04,148.04,148.04,148.04,,-0.07%
2000-04-04,147.05,147.05,147.05,147.05,,-0.67%
2000-04-05,140.62,140.62,140.62,140.62,,-4.37%
2000-04-06,144.49,144.49,144.49,144.49,,2.75%
2000-04-07,146.01,146.01,146.01,146.01,,1.05%
2000-04-10,146.38,146.38,146.38,146.38,,0.25%
2000-04-11,144.35,144.35,144.35,144.35,,-1.39%
2000-04-12,144.41,144.41,144.41,144.41,,0.04%
2000-04-13,142.48,142.48,142.48,142.48,,-1.34%
2000-04-14,139.48,139.48,139.48,139.48,,-2.11%
2000-04-17,137.69,137.69,137.69,137.69,,-1.28%
2000-04-18,140.01,140.01,140.01,140.01,,1.68%
2000-04-19,142.55,142.55,142.55,142.55,,1.81%
2000-04-25,143.43,143.43,143.43,143.43,,0.62%
2000-04-26,145.02,145.02,145.02,145.02,,1.11%
2000-04-27,143.09,143.09,143.09,143.09,,-1.33%
2000-04-28,146.31,146.31,146.31,146.31,,2.25%
2000-05-02,148.54,148.54,148.54,148.54,,1.52%
2000-05-03,149.36,149.36,149.36,149.36,,0.55%
2000-05-04,150.56,150.56,150.56,150.56,,0.80%
2000-05-05,150.34,150.34,150.34,150.34,,-0.15%
2000-05-08,151.28,151.28,151.28,151.28,,0.63%
2000-05-09,152.15,152.15,152.15,152.15,,0.58%
2000-05-10,150.70,150.70,150.70,150.70,,-0.95%
2000-05-11,151.46,151.46,151.46,151.46,,0.50%
2000-05-12,153.97,153.97,153.97,153.97,,1.66%
2000-05-15,153.97,153.97,153.97,153.97,,0.00%
2000-05-16,155.70,155.70,155.70,155.70,,1.12%
2000-05-18,159.10,159.10,159.10,159.10,,2.18%
2000-05-19,156.02,156.02,156.02,156.02,,-1.94%
2000-05-22,154.77,154.77,154.77,154.77,,-0.80%
2000-05-23,155.17,155.17,155.17,155.17,,0.26%
2000-05-24,153.09,153.09,153.09,153.09,,-1.34%
2000-05-25,154.43,154.43,154.43,154.43,,0.88%
2000-05-26,152.61,152.61,152.61,152.61,,-1.18%
2000-05-29,151.88,151.88,151.88,151.88,,-0.48%
2000-05-30,153.48,153.48,153.48,153.48,,1.05%
2000-05-31,152.93,152.93,152.93,152.93,,-0.36%
2000-06-02,155.78,155.78,155.78,155.78,,1.86%
2000-06-05,154.35,154.35,154.35,154.35,,-0.92%
2000-06-06,152.52,152.52,152.52,152.52,,-1.19%
2000-06-07,153.12,153.12,153.12,153.12,,0.39%
2000-06-08,154.15,154.15,154.15,154.15,,0.67%
2000-06-09,155.18,155.18,155.18,155.18,,0.67%
2000-06-13,156.29,156.29,156.29,156.29,,0.72%
2000-06-14,155.96,155.96,155.96,155.96,,-0.21%
2000-06-15,156.21,156.21,156.21,156.21,,0.16%
2000-06-16,158.21,158.21,158.21,158.21,,1.28%
2000-06-19,157.97,157.97,157.97,157.97,,-0.15%
2000-06-20,157.23,157.23,157.23,157.23,,-0.47%
2000-06-21,155.82,155.82,155.82,155.82,,-0.90%
2000-06-22,156.84,156.84,156.84,156.84,,0.65%
2000-06-23,158.41,158.41,158.41,158.41,,1.00%
2000-06-26,159.00,159.00,159.00,159.00,,0.37%
2000-06-27,159.67,159.67,159.67,159.67,,0.42%
2000-06-28,160.62,160.62,160.62,160.62,,0.59%
2000-06-29,159.40,159.40,159.40,159.40,,-0.76%
2000-06-30,160.88,160.88,160.88,160.88,,0.93%
2000-07-03,161.94,161.94,161.94,161.94,,0.66%
2000-07-04,161.30,161.30,161.30,161.30,,-0.40%
2000-07-05,161.08,161.08,161.08,161.08,,-0.14%
2000-07-06,161.54,161.54,161.54,161.54,,0.29%
2000-07-07,163.10,163.10,163.10,163.10,,0.97%
2000-07-10,162.27,162.27,162.27,162.27,,-0.51%
2000-07-11,162.16,162.16,162.16,162.16,,-0.07%
2000-07-12,164.55,164.55,164.55,164.55,,1.47%
2000-07-13,166.30,166.30,166.30,166.30,,1.06%
2000-07-14,166.16,166.16,166.16,166.16,,-0.08%
2000-07-17,166.05,166.05,166.05,166.05,,-0.07%
2000-07-18,166.10,166.10,166.10,166.10,,0.03%
2000-07-19,166.27,166.27,166.27,166.27,,0.10%
2000-07-20,167.20,167.20,167.20,167.20,,0.56%
2000-07-21,167.69,167.69,167.69,167.69,,0.29%
2000-07-24,168.67,168.67,168.67,168.67,,0.58%
2000-07-25,167.97,167.97,167.97,167.97,,-0.42%
2000-07-26,168.27,168.27,168.27,168.27,,0.18%
