"Date","Price","Open","High","Low","Vol.","Change %"
"01/23/2026","3.40","3.24","3.41","3.24","13.98K","-0.29%"
"01/22/2026","3.41","3.34","3.41","3.34","27.82K","1.49%"
"01/21/2026","3.36","3.20","3.36","3.20","9.05K","-0.30%"
"01/20/2026","3.37","3.46","3.46","3.37","4.64K","0.60%"
"01/19/2026","3.35","3.26","3.54","3.25","24.83K","1.82%"
"01/16/2026","3.29","3.54","3.54","3.25","26.48K","-5.73%"
"01/15/2026","3.49","3.55","3.55","3.28","13.65K","-1.69%"
"01/13/2026","3.55","3.58","3.58","3.25","54.61K","-1.11%"
"01/12/2026","3.59","3.25","3.59","3.25","3.82K","3.46%"
"01/09/2026","3.47","3.59","3.59","3.22","2.00K","-3.34%"
"01/08/2026","3.59","3.60","3.60","3.50","12.22K","2.57%"
"01/07/2026","3.50","3.58","3.58","3.50","20.66K","-2.23%"
"01/06/2026","3.58","3.59","3.59","3.21","87.12K","-0.28%"
"01/05/2026","3.59","3.67","3.67","3.13","5.46K","-1.91%"
"01/02/2026","3.66","3.30","3.66","3.29","19.45K","11.59%"
"12/30/2025","3.28","3.18","3.28","3.17","14.20K","-3.24%"
"12/29/2025","3.39","3.24","3.49","3.23","70.06K","4.63%"
"12/23/2025","3.24","3.68","3.68","3.24","45.24K","-11.96%"
"12/22/2025","3.68","3.68","3.68","3.68","0.12K","11.52%"
"12/19/2025","3.30","3.65","3.65","3.24","26.52K","0.00%"
"12/18/2025","3.30","3.35","3.63","3.20","40.07K","-9.34%"
"12/17/2025","3.64","3.64","3.64","3.64","0.03K","-0.55%"
"12/16/2025","3.66","3.35","3.68","3.35","3.20K","4.27%"
"12/15/2025","3.51","3.43","3.68","3.31","29.55K","-2.50%"
"12/12/2025","3.60","3.30","3.69","3.30","11.99K","5.88%"
"12/11/2025","3.40","3.60","3.60","3.40","11.87K","-7.61%"
"12/10/2025","3.68","3.31","3.68","3.31","2.51K","-3.16%"
"12/09/2025","3.80","3.87","3.89","3.80","16.95K","-1.81%"
"12/08/2025","3.87","3.89","3.89","3.46","5.74K","0.00%"
"12/05/2025","3.87","3.90","3.90","3.86","0.28K","4.59%"
"12/04/2025","3.70","3.67","3.89","3.67","34.49K","0.54%"
"12/03/2025","3.68","3.61","3.68","3.60","3.63K","2.22%"
"12/02/2025","3.60","3.60","3.83","3.60","2.29K","-5.26%"
"12/01/2025","3.80","3.50","3.85","3.50","35.47K","3.26%"
"11/28/2025","3.68","3.50","3.69","3.31","33.06K","-0.81%"
"11/27/2025","3.71","3.70","3.71","3.65","32.15K","1.64%"
"11/26/2025","3.65","3.31","3.65","3.31","22.51K","0.00%"
"11/25/2025","3.65","3.32","3.65","3.32","38.60K","4.29%"
"11/24/2025","3.50","3.53","3.53","3.46","12.03K","1.74%"
"11/21/2025","3.44","3.63","3.63","3.26","14.44K","-1.71%"
"11/20/2025","3.50","3.35","3.67","3.25","12.18K","6.06%"
"11/19/2025","3.30","3.97","3.97","3.23","7.49K","-3.23%"
"11/18/2025","3.41","3.55","3.79","3.11","45.38K","-8.33%"
"11/17/2025","3.72","3.50","4.10","3.50","5.23K","0.54%"
"11/14/2025","3.70","4.18","4.18","3.70","0.77K","0.00%"
"11/13/2025","3.70","3.86","3.86","3.54","11.34K","-4.64%"
"11/12/2025","3.88","3.89","3.89","3.84","3.15K","1.04%"
"11/11/2025","3.84","4.02","4.05","3.71","43.06K","-1.03%"
"11/10/2025","3.88","3.84","4.20","3.60","73.88K","2.37%"
"11/07/2025","3.79","3.68","3.89","3.41","102.75K","8.60%"
"11/06/2025","3.49","3.53","3.69","3.30","79.20K","-2.51%"
"11/05/2025","3.58","3.50","3.89","3.50","83.76K","-3.24%"
"11/04/2025","3.70","3.51","4.00","3.51","299.36K","10.45%"
"11/03/2025","3.35","3.02","3.40","3.02","0.68K","-2.62%"
"10/31/2025","3.44","3.11","3.51","3.11","6.56K","-2.55%"
"10/30/2025","3.53","3.03","3.56","3.03","1.68K","10.31%"
"10/29/2025","3.20","3.16","3.35","3.16","9.60K","-3.61%"
"10/28/2025","3.32","3.50","3.50","3.16","8.42K","4.40%"
"10/27/2025","3.18","3.17","3.40","3.17","8.24K","-13.59%"
"10/24/2025","3.68","3.99","3.99","3.17","14.52K","9.85%"
"10/23/2025","3.35","3.55","3.55","3.35","36.10K","-4.29%"
"10/22/2025","3.50","3.50","3.50","3.50","1.00K","-1.96%"
"10/21/2025","3.57","3.57","3.57","3.57","0.10K","5.31%"
"10/20/2025","3.39","3.57","3.57","3.00","53.93K","5.94%"
"10/17/2025","3.20","3.20","3.42","2.99","16.75K","3.23%"
"10/16/2025","3.10","3.00","3.56","3.00","20.20K","3.33%"
"10/15/2025","3.00","3.19","3.21","3.00","24.53K","-5.66%"
"10/13/2025","3.18","3.54","3.54","3.18","2.26K","-7.56%"
"10/10/2025","3.44","3.13","3.51","3.13","16.05K","5.20%"
"10/09/2025","3.27","3.02","3.48","3.02","36.49K","-8.66%"
"10/08/2025","3.58","3.17","3.58","3.16","11.80K","8.48%"
"10/07/2025","3.30","3.21","3.65","3.21","8.52K","-10.08%"
"10/06/2025","3.67","3.68","3.68","3.15","11.31K","-0.27%"
"10/03/2025","3.68","3.50","3.69","3.10","20.25K","8.24%"
"10/02/2025","3.40","3.30","3.50","3.13","16.35K","3.03%"
"10/01/2025","3.30","3.69","3.69","3.24","57.28K","-3.51%"
"09/30/2025","3.42","3.35","3.77","3.11","71.01K","2.40%"
"09/29/2025","3.34","3.35","3.35","3.19","29.70K","0.30%"
"09/26/2025","3.33","3.80","3.80","3.21","20.52K","-2.06%"
"09/25/2025","3.40","3.79","3.81","3.40","28.57K","-9.33%"
"09/24/2025","3.75","3.55","3.80","3.41","2.80K","5.63%"
"09/23/2025","3.55","3.50","3.72","3.50","10.49K","-4.57%"
"09/22/2025","3.72","3.98","3.98","3.42","23.24K","0.81%"
"09/19/2025","3.69","3.69","3.86","3.55","27.11K","2.22%"
"09/18/2025","3.61","3.70","3.94","3.61","143.28K","-8.61%"
"09/17/2025","3.95","4.10","4.10","3.40","72.70K","9.72%"
"09/16/2025","3.60","4.02","4.02","3.60","3.72K","-10.67%"
"09/15/2025","4.03","4.14","4.14","3.77","12.92K","6.90%"
"09/12/2025","3.77","3.53","4.10","3.52","37.14K","-9.16%"
"09/11/2025","4.15","3.83","4.15","3.50","4.87K","6.14%"
"09/10/2025","3.91","4.20","4.20","3.86","19.37K","-5.78%"
"09/09/2025","4.15","4.30","4.30","3.85","35.68K","6.68%"
"09/08/2025","3.89","4.00","4.00","3.82","5.29K","-2.02%"
"09/05/2025","3.97","3.97","3.97","3.80","10.92K","-0.75%"
"09/04/2025","4.00","3.50","4.02","3.50","49.87K","12.04%"
"09/03/2025","3.57","3.50","3.81","3.50","23.77K","-2.46%"
"09/02/2025","3.66","3.63","3.67","3.51","31.97K","-4.94%"
"09/01/2025","3.85","3.31","3.87","3.31","26.91K","0.26%"
"08/29/2025","3.84","4.20","4.20","3.75","35.11K","-6.34%"
"08/28/2025","4.10","3.80","4.10","3.36","112.65K","5.67%"
"08/27/2025","3.88","4.00","4.20","3.88","43.28K","-5.60%"
"08/26/2025","4.11","4.36","4.36","4.00","54.45K","-1.20%"
