"Date","Price","Open","High","Low","Vol.","Change %"
"01/23/2026","22.50","22.40","22.80","22.30","29.00K","0.45%"
"01/22/2026","22.40","23.10","23.10","21.40","37.76K","4.19%"
"01/21/2026","21.50","22.90","22.90","21.10","16.73K","0.00%"
"01/20/2026","21.50","21.30","23.20","21.30","25.25K","1.42%"
"01/19/2026","21.20","22.60","23.00","21.00","56.65K","-6.61%"
"01/16/2026","22.70","24.00","24.00","22.70","57.13K","-4.22%"
"01/15/2026","23.70","24.00","24.10","23.60","16.63K","-1.25%"
"01/14/2026","24.00","24.60","24.60","23.60","18.45K","0.84%"
"01/13/2026","23.80","24.00","24.00","23.00","29.87K","2.59%"
"01/12/2026","23.20","24.40","25.00","23.10","24.48K","-4.92%"
"01/09/2026","24.40","24.10","25.00","23.40","83.03K","4.72%"
"01/08/2026","23.30","24.10","24.10","23.00","57.11K","-2.10%"
"01/07/2026","23.80","22.70","24.60","22.60","127.36K","3.93%"
"01/06/2026","22.90","20.80","22.90","20.80","85.78K","7.01%"
"01/05/2026","21.40","21.30","21.80","20.90","54.40K","0.94%"
"01/02/2026","21.20","20.70","21.50","20.70","18.95K","2.91%"
"12/30/2025","20.60","21.00","21.60","20.30","56.30K","-1.90%"
"12/29/2025","21.00","22.50","22.80","21.00","24.06K","-3.67%"
"12/23/2025","21.80","21.80","22.60","21.50","29.45K","-0.46%"
"12/22/2025","21.90","22.00","22.30","21.50","38.03K","0.46%"
