"Date","Price","Open","High","Low","Vol.","Change %"
"01/23/2026","1.10","1.15","1.15","1.07","2.29M","-4.01%"
"01/22/2026","1.15","1.08","1.17","1.05","4.16M","8.11%"
"01/21/2026","1.06","1.07","1.10","1.04","1.20M","0.00%"
"01/20/2026","1.06","1.06","1.08","1.01","1.57M","0.00%"
"01/19/2026","1.05","1.02","1.07","1.00","2.21M","3.94%"
"01/16/2026","1.01","1.05","1.07","0.99","2.37M","-3.06%"
"01/15/2026","1.05","1.05","1.11","1.03","2.75M","-2.97%"
"01/14/2026","1.08","1.05","1.11","1.03","1.41M","0.94%"
"01/13/2026","1.07","1.08","1.09","1.03","2.14M","-3.25%"
"01/12/2026","1.10","1.21","1.21","1.08","4.50M","-7.32%"
"01/09/2026","1.19","1.25","1.25","1.16","3.30M","-3.30%"
"01/08/2026","1.23","1.23","1.28","1.20","3.27M","4.26%"
"01/07/2026","1.18","1.21","1.21","1.15","979.12K","-0.97%"
"01/06/2026","1.19","1.16","1.22","1.16","1.45M","-1.41%"
"01/05/2026","1.21","1.22","1.24","1.19","1.17M","-0.82%"
"01/02/2026","1.22","1.16","1.29","1.16","3.36M","4.81%"
"12/30/2025","1.16","1.19","1.20","1.16","572.97K","-1.52%"
"12/29/2025","1.18","1.18","1.22","1.14","1.57M","0.51%"
"12/23/2025","1.18","1.20","1.20","1.15","933.58K","0.68%"
"12/22/2025","1.17","1.25","1.25","1.14","1.99M","-3.47%"
