"Date","Price","Open","High","Low","Vol.","Change %"
"01/23/2026","2.53","2.79","2.79","2.23","16.02K","-6.30%"
"01/22/2026","2.70","2.49","2.80","2.49","72.97K","7.57%"
"01/21/2026","2.51","2.98","2.98","2.51","2.61K","-10.04%"
"01/20/2026","2.79","2.52","2.86","2.52","25.24K","10.71%"
"01/19/2026","2.52","2.80","2.80","2.52","10.54K","-10.00%"
"01/16/2026","2.80","2.02","3.22","2.02","224.70K","23.35%"
"01/15/2026","2.27","2.30","2.30","2.17","17.49K","-2.99%"
"01/13/2026","2.34","2.37","2.40","2.21","0.33K","-1.27%"
"01/12/2026","2.37","2.17","2.38","2.16","35.91K","-8.85%"
"01/09/2026","2.60","2.88","2.88","2.60","0.03K","0.00%"
"01/08/2026","2.60","2.30","2.60","2.30","0.41K","13.04%"
"01/07/2026","2.30","2.16","2.30","2.16","10.17K","2.22%"
"01/05/2026","2.25","2.20","2.25","2.20","10.34K","-6.25%"
"01/02/2026","2.40","2.50","2.61","2.26","21.37K","4.35%"
"12/30/2025","2.30","2.37","2.66","2.20","31.89K","-5.74%"
"12/29/2025","2.44","2.40","2.45","2.13","106.28K","-3.17%"
"12/23/2025","2.52","2.74","2.74","2.48","28.81K","2.44%"
"12/22/2025","2.46","2.48","2.58","2.40","64.21K","-1.99%"
"12/19/2025","2.51","2.52","2.80","2.39","191.85K","1.21%"
"12/18/2025","2.48","2.33","2.48","2.33","0.80K","5.53%"
