"Date","Price","Open","High","Low","Vol.","Change %"
"01/23/2026","3.80","3.70","3.80","3.70","46.26K","1.33%"
"01/22/2026","3.75","3.74","4.00","3.69","106.53K","-1.32%"
"01/20/2026","3.80","3.80","3.81","3.80","21.64K","0.26%"
"01/19/2026","3.79","3.67","3.79","3.67","2.25K","0.00%"
"01/16/2026","3.79","3.73","3.79","3.73","5.32K","1.61%"
"01/15/2026","3.73","3.67","3.77","3.67","41.54K","-0.27%"
"01/14/2026","3.74","3.74","3.74","3.70","38.06K","1.08%"
"01/13/2026","3.70","3.75","3.87","3.70","46.80K","-4.39%"
"01/12/2026","3.87","3.89","3.95","3.74","40.40K","-0.51%"
"01/09/2026","3.89","3.85","3.94","3.76","19.71K","0.52%"
"01/08/2026","3.87","3.83","3.94","3.82","49.45K","-1.78%"
"01/07/2026","3.94","3.90","4.05","3.90","47.98K","0.00%"
"01/06/2026","3.94","3.94","3.99","3.92","59.09K","0.00%"
"01/05/2026","3.94","4.08","4.08","3.94","30.32K","-5.06%"
"01/02/2026","4.15","4.08","4.22","4.08","73.35K","-2.12%"
"12/30/2025","4.24","4.20","4.30","4.05","95.07K","-2.30%"
"12/29/2025","4.34","4.08","4.34","4.02","6.80K","3.58%"
"12/23/2025","4.19","4.20","4.20","3.93","55.55K","-2.56%"
"12/22/2025","4.30","4.48","4.48","4.30","3.27K","2.38%"
"12/19/2025","4.20","4.27","4.33","4.20","82.60K","-2.10%"
"12/18/2025","4.29","4.00","4.29","4.00","26.75K","6.45%"
"12/17/2025","4.03","3.88","4.03","3.88","11.12K","0.25%"
"12/16/2025","4.02","4.00","4.03","3.94","9.24K","1.26%"
"12/15/2025","3.97","3.98","4.01","3.97","43.01K","-0.50%"
"12/12/2025","3.99","3.99","4.00","3.93","54.23K","0.00%"
"12/11/2025","3.99","4.32","4.33","3.90","72.67K","-6.99%"
"12/10/2025","4.29","3.87","4.29","3.87","37.21K","10.85%"
"12/08/2025","3.87","3.88","3.93","3.86","22.64K","-1.53%"
"12/05/2025","3.93","3.78","4.00","3.78","30.58K","2.88%"
"12/04/2025","3.82","3.87","3.87","3.80","28.57K","-3.54%"
"12/03/2025","3.96","3.93","3.96","3.87","13.70K","0.51%"
"12/02/2025","3.94","4.10","4.10","3.93","21.06K","-2.48%"
"12/01/2025","4.04","3.82","4.25","3.82","40.34K","-3.12%"
"11/28/2025","4.17","3.70","4.40","3.70","187.67K","16.16%"
"11/27/2025","3.59","3.46","3.76","3.46","75.05K","3.76%"
"11/26/2025","3.46","3.25","3.46","3.25","20.63K","2.98%"
