"Date","Price","Open","High","Low","Vol.","Change %"    
"12/30/2025","281.50","280.10","282.60","280.10","1.25M","0.43%"
"12/29/2025","280.30","282.90","282.90","280.30","1.24M","-0.74%"
"12/23/2025","282.40","280.90","282.70","280.20","805.92K","0.53%"
"12/22/2025","280.90","281.10","282.10","280.30","1.15M","0.07%"
"12/19/2025","280.70","276.60","281.40","276.20","5.55M","1.78%"
"12/18/2025","275.80","274.20","276.50","274.20","1.12M","0.25%"
"12/17/2025","275.10","276.20","276.20","274.00","1.31M","0.22%"
"12/16/2025","274.50","276.10","278.50","274.40","1.44M","-0.83%"
"12/15/2025","276.80","272.10","277.20","272.10","1.91M","1.88%"
"12/12/2025","271.70","274.10","276.70","271.70","1.03M","-0.69%"
"12/11/2025","273.60","271.10","274.80","270.10","1.27M","0.74%"
"12/10/2025","271.60","271.60","273.50","270.80","1.29M","-0.04%"
"12/09/2025","271.70","271.00","273.80","271.00","1.50M","0.44%"
"12/08/2025","270.50","269.40","270.80","268.90","1.11M","0.19%"
"12/05/2025","270.00","269.20","271.70","269.10","1.06M","0.56%"
"12/04/2025","268.50","270.70","270.70","266.50","1.54M","-1.65%"
"12/03/2025","273.00","274.90","275.20","273.00","1.33M","-0.66%"
"12/02/2025","274.80","272.40","275.70","271.20","1.55M","1.78%"
"12/01/2025","270.00","270.10","271.00","269.20","1.20M","-0.18%"
"11/28/2025","270.50","271.20","271.70","270.00","1.17M","-0.55%"
"11/27/2025","272.00","269.40","272.00","268.70","776.27K","1.15%"
"11/26/2025","268.90","268.80","269.60","267.00","841.69K","0.82%"
"11/25/2025","266.70","265.50","267.70","264.50","978.22K","0.72%"
"11/24/2025","264.80","265.90","267.30","264.10","4.38M","0.08%"
"11/21/2025","264.60","262.50","265.20","261.00","3.71M","-0.34%"
"11/20/2025","265.50","263.50","266.20","263.20","1.44M","1.57%"
"11/19/2025","261.40","261.40","261.90","259.00","1.79M","0.31%"
"11/18/2025","260.60","262.00","264.60","259.80","1.81M","-1.85%"
"11/17/2025","265.50","263.70","266.10","263.50","1.05M","0.68%"
"11/14/2025","263.70","268.20","268.20","263.00","1.47M","-2.01%"
"11/13/2025","269.10","268.40","269.40","266.80","1.08M","0.30%"
"11/12/2025","268.30","264.00","268.70","263.90","1.69M","1.78%"
"11/11/2025","263.60","261.30","263.60","261.20","986.13K","1.00%"
"11/10/2025","261.00","260.10","261.40","259.40","1.30M","0.62%"
"11/07/2025","259.40","262.20","262.80","257.40","1.18M","-0.84%"
"11/06/2025","261.60","262.00","263.20","260.50","1.60M","-0.11%"
"11/05/2025","261.90","261.40","261.90","259.60","883.73K","-0.04%"
"11/04/2025","262.00","261.70","262.00","259.70","932.57K","-0.08%"
