"Date","Price","Open","High","Low","Vol.","Change %"
"01/23/2026","2.00","2.00","2.00","2.00","1.00K","-5.66%"
"01/22/2026","2.12","2.12","2.12","2.12","1.00K","6.53%"
"01/21/2026","1.99","2.00","2.00","1.99","0.44K","0.00%"
"01/20/2026","1.99","2.14","2.14","1.75","36.30K","-11.16%"
"01/19/2026","2.24","2.30","2.38","2.24","13.75K","-5.88%"
"01/16/2026","2.38","2.20","2.38","2.20","0.50K","8.18%"
"01/15/2026","2.20","2.20","2.20","2.20","10.00K","-7.56%"
"01/09/2026","2.38","2.40","2.40","2.10","28.16K","9.17%"
"01/08/2026","2.18","2.00","2.20","1.66","67.23K","45.33%"
"01/07/2026","1.50","1.51","1.51","1.50","5.75K","0.00%"
"01/06/2026","1.50","1.50","1.50","1.50","5.00K","4.90%"
"01/02/2026","1.43","1.41","1.45","1.41","24.60K","3.62%"
"12/30/2025","1.38","1.50","1.50","1.38","27.63K","-10.39%"
"12/29/2025","1.54","1.56","1.56","1.47","54.13K","4.76%"
"12/23/2025","1.47","1.41","1.54","1.41","77.32K","-5.16%"
"12/22/2025","1.55","1.37","1.60","1.37","134.60K","13.97%"
"12/19/2025","1.36","1.40","1.45","1.36","30.00K","-13.92%"
"12/17/2025","1.58","1.53","1.58","1.53","40.18K","1.94%"
"12/16/2025","1.55","1.50","1.55","1.50","4.00K","16.54%"
"12/12/2025","1.33","1.32","1.50","1.32","36.17K","-11.33%"
"12/11/2025","1.50","1.50","1.50","1.50","5.00K","0.00%"
"12/10/2025","1.50","1.49","1.56","1.49","26.70K","-5.66%"
"12/09/2025","1.59","1.46","1.59","1.45","52.54K","-1.24%"
"12/08/2025","1.61","1.50","1.61","1.33","162.88K","3.87%"
"12/05/2025","1.55","1.60","1.60","1.55","17.33K","-3.13%"
"12/04/2025","1.60","1.69","1.70","1.60","31.46K","0.63%"
"12/03/2025","1.59","1.51","1.59","1.51","0.27K","-4.22%"
"12/02/2025","1.66","1.60","1.66","1.60","19.32K","0.61%"
"12/01/2025","1.65","1.55","1.65","1.55","10.32K","6.45%"
"11/28/2025","1.55","1.85","1.90","1.55","66.32K","21.09%"
"11/27/2025","1.28","1.50","1.58","1.26","61.86K","-24.71%"
"11/26/2025","1.70","1.52","1.97","1.46","81.87K","11.84%"
"11/25/2025","1.52","2.02","2.02","1.52","8.03K","-20.00%"
"11/24/2025","1.90","1.40","1.90","1.40","1.20K","-5.00%"
"11/20/2025","2.00","2.00","2.08","1.70","88.67K","2.56%"
"11/19/2025","1.95","2.24","2.24","1.90","2.33K","-5.34%"
"11/18/2025","2.06","1.45","2.06","1.45","30.70K","-4.63%"
"11/17/2025","2.16","2.06","2.16","2.06","2.92K","27.06%"
"11/14/2025","1.70","1.73","2.00","1.61","36.45K","6.92%"
"11/13/2025","1.59","1.73","1.73","1.56","20.50K","-8.09%"
"11/12/2025","1.73","1.43","1.73","1.43","24.78K","20.98%"
"11/11/2025","1.43","1.50","1.50","1.21","28.30K","2.14%"
"11/10/2025","1.40","1.27","1.40","1.19","97.78K","10.24%"
"11/07/2025","1.27","1.37","1.38","1.15","288.49K","-13.61%"
"11/06/2025","1.47","1.57","1.57","1.37","93.00K","-2.00%"
"11/05/2025","1.50","1.35","1.59","1.34","54.76K","0.00%"
