"Date","Price","Open","High","Low","Vol.","Change %"
"01/23/2026","58.40","58.40","58.80","57.40","2.41K","0.34%"
"01/22/2026","58.20","58.60","58.60","58.00","18.20K","-0.68%"
"01/21/2026","58.60","58.80","58.80","57.80","9.40K","2.81%"
"01/20/2026","57.00","58.20","59.00","57.00","25.45K","-3.06%"
"01/19/2026","58.80","58.00","59.20","57.80","13.66K","0.34%"
"01/16/2026","58.60","59.60","59.60","58.00","22.40K","-0.34%"
"01/15/2026","58.80","57.60","58.80","57.00","3.45K","2.44%"
"01/14/2026","57.40","59.80","59.80","56.80","9.77K","-2.71%"
"01/13/2026","59.00","57.00","59.00","56.60","6.94K","2.79%"
"01/12/2026","57.40","60.00","60.00","57.40","11.77K","-1.03%"
"01/09/2026","58.00","60.00","60.00","57.00","5.75K","-0.34%"
"01/08/2026","58.20","59.80","59.80","55.80","6.11K","1.75%"
"01/07/2026","57.20","57.20","60.00","56.60","31.07K","0.00%"
"01/06/2026","57.20","55.80","57.20","55.20","5.78K","0.00%"
"01/05/2026","57.20","57.20","57.20","57.20","0.14K","0.00%"
"01/02/2026","57.20","58.00","58.00","57.00","4.48K","1.42%"
"12/30/2025","56.40","55.60","56.60","55.60","2.80K","1.81%"
"12/29/2025","55.40","56.00","56.00","55.00","2.72K","-0.36%"
"12/23/2025","55.60","55.80","56.00","55.00","4.40K","-0.71%"
"12/22/2025","56.00","56.00","56.60","56.00","2.86K","-2.44%"
