"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2025","302.00","299.20","302.00","298.60","217.45K","1.41%"
"12/29/2025","297.80","298.00","299.60","296.00","279.10K","-0.33%"
"12/23/2025","298.80","298.00","299.80","297.20","142.77K","0.13%"
"12/22/2025","298.40","295.60","298.40","295.40","162.17K","0.61%"
"12/19/2025","296.60","296.00","299.00","294.00","588.58K","0.20%"
"12/18/2025","296.00","291.40","296.00","290.80","355.85K","1.51%"
"12/17/2025","291.60","295.20","295.20","291.60","230.87K","-0.48%"
"12/16/2025","293.00","293.60","294.60","293.00","330.38K","-0.54%"
"12/15/2025","294.60","291.80","296.40","291.80","318.06K","1.03%"
"12/12/2025","291.60","290.60","292.80","290.60","175.41K","0.55%"
"12/11/2025","290.00","291.00","291.40","289.00","286.03K","0.07%"
"12/10/2025","289.80","290.00","291.40","286.40","209.83K","-0.75%"
"12/09/2025","292.00","285.00","294.20","285.00","438.00K","3.55%"
"12/08/2025","282.00","282.80","283.80","280.80","183.75K","-0.28%"
"12/05/2025","282.80","283.40","283.80","280.40","112.86K","-0.07%"
"12/04/2025","283.00","280.00","283.40","278.80","155.79K","1.07%"
"12/03/2025","280.00","287.00","287.00","278.80","280.87K","-2.71%"
"12/02/2025","287.80","285.60","289.00","285.60","316.86K","1.12%"
"12/01/2025","284.60","283.60","286.00","280.80","296.20K","0.49%"
"11/28/2025","283.20","285.00","286.80","281.20","320.41K","0.43%"
"11/27/2025","282.00","280.00","282.00","279.40","124.31K","0.86%"
"11/26/2025","279.60","275.40","280.00","275.20","211.48K","1.23%"
"11/25/2025","276.20","274.20","276.20","273.40","228.82K","0.66%"
"11/24/2025","274.40","273.80","276.20","272.20","2.08M","-0.51%"
"11/21/2025","275.80","276.80","277.20","274.80","312.76K","-0.43%"
"11/20/2025","277.00","274.80","277.60","273.60","139.03K","1.02%"
"11/19/2025","274.20","274.40","274.40","271.80","178.48K","0.51%"
"11/18/2025","272.80","274.00","275.60","272.60","250.37K","-1.45%"
"11/17/2025","276.80","276.40","277.40","275.40","181.06K","0.14%"
"11/14/2025","276.40","276.80","278.00","272.40","201.43K","-0.29%"
"11/13/2025","277.20","280.80","282.20","277.20","187.65K","-1.42%"
"11/12/2025","281.20","278.00","281.20","277.00","241.07K","1.30%"
"11/11/2025","277.60","275.00","277.80","274.80","147.76K","0.58%"
"11/10/2025","276.00","274.00","276.00","272.00","194.89K","0.22%"
"11/07/2025","275.40","275.00","277.20","271.60","187.42K","0.07%"
"11/06/2025","275.20","276.00","276.40","273.20","342.40K","-0.15%"
"11/05/2025","275.60","275.00","276.00","272.00","212.52K","0.36%"
"11/04/2025","274.60","271.80","274.60","269.20","183.85K","0.66%"
"11/03/2025","272.80","272.40","274.40","272.00","268.55K","0.07%"
"10/31/2025","272.60","275.20","275.80","271.20","255.54K","-0.87%"
"10/30/2025","275.00","275.00","276.40","274.40","305.96K","-0.51%"
"10/29/2025","276.40","273.20","276.40","272.00","305.30K","0.88%"
"10/28/2025","274.00","274.20","275.20","268.00","267.73K","-0.15%"
"10/27/2025","274.40","267.00","274.40","265.60","858.36K","3.08%"
"10/24/2025","266.20","267.00","269.00","261.60","1.28M","-5.13%"
"10/23/2025","280.60","280.20","281.20","278.20","119.77K","0.00%"
"10/22/2025","280.60","279.40","281.00","279.00","181.36K","0.43%"
"10/21/2025","279.40","279.40","281.60","278.80","197.60K","0.00%"
"10/20/2025","279.40","279.60","281.40","278.20","179.60K","-0.36%"
"10/17/2025","280.40","281.60","281.60","277.80","228.03K","-0.71%"
"10/16/2025","282.40","285.80","285.80","281.60","231.19K","-0.91%"
"10/15/2025","285.00","286.80","287.60","285.00","194.01K","-0.70%"
"10/14/2025","287.00","288.60","289.00","285.80","171.26K","0.42%"
"10/13/2025","285.80","288.00","289.40","285.40","236.94K","-1.18%"
"10/10/2025","289.20","291.00","292.60","288.00","325.55K","-0.96%"
"10/09/2025","292.00","290.00","294.00","289.60","154.64K","0.83%"
"10/08/2025","289.60","292.00","292.40","287.00","309.63K","-0.75%"
"10/07/2025","291.80","293.00","294.80","290.80","203.87K","-0.27%"
"10/06/2025","292.60","286.60","292.60","286.60","254.46K","1.53%"
"10/03/2025","288.20","289.20","291.40","287.00","182.54K","-0.35%"
"10/02/2025","289.20","291.40","291.40","287.40","162.73K","-1.09%"
"10/01/2025","292.40","292.00","293.60","290.40","236.56K","-0.07%"
"09/30/2025","292.60","292.60","295.20","290.60","355.16K","0.14%"
"09/29/2025","292.20","291.20","295.60","288.80","353.50K","3.99%"
"09/26/2025","281.00","276.00","281.80","275.20","633.43K","1.96%"
"09/25/2025","275.60","275.60","276.20","274.20","175.47K","-0.36%"
"09/24/2025","276.60","276.80","277.60","274.00","202.45K","0.07%"
"09/23/2025","276.40","278.00","278.60","275.80","143.13K","-0.36%"
"09/22/2025","277.40","275.40","277.80","273.20","210.22K","0.87%"
"09/19/2025","275.00","275.80","277.40","273.00","711.63K","-0.15%"
"09/18/2025","275.40","283.00","283.60","273.40","333.59K","-2.48%"
"09/17/2025","282.40","282.00","283.00","280.40","232.14K","0.07%"
"09/16/2025","282.20","285.40","285.60","281.00","341.74K","-1.40%"
"09/15/2025","286.20","283.80","287.00","282.20","150.62K","1.06%"
"09/12/2025","283.20","282.60","285.00","281.00","202.17K","0.07%"
"09/11/2025","283.00","283.80","285.00","280.20","313.97K","-0.42%"
"09/10/2025","284.20","279.00","284.20","279.00","259.91K","2.38%"
"09/09/2025","277.60","276.60","279.20","276.60","464.24K","0.58%"
"09/08/2025","276.00","276.80","278.60","276.00","487.49K","-0.29%"
"09/05/2025","276.80","277.80","277.80","275.60","193.55K","-0.07%"
"09/04/2025","277.00","270.00","278.20","270.00","226.97K","2.59%"
"09/03/2025","270.00","272.60","273.60","269.20","188.56K","-1.46%"
