"Date","Price","Open","High","Low","Vol.","Change %"
"01/23/2026","3.50","3.44","3.50","3.36","3.87K","4.17%"
"01/22/2026","3.36","3.36","3.36","3.36","0.02K","-6.67%"
"01/20/2026","3.60","3.36","3.60","3.36","7.82K","0.00%"
"01/19/2026","3.60","3.36","3.98","3.36","3.68K","-7.22%"
"01/16/2026","3.88","3.36","3.88","3.36","0.72K","2.11%"
"01/15/2026","3.80","3.90","3.90","3.80","9.50K","7.95%"
"01/14/2026","3.52","3.64","3.70","3.52","9.22K","-12.00%"
"01/13/2026","4.00","3.68","4.00","3.64","5.60K","-4.31%"
"01/12/2026","4.18","3.70","4.18","3.70","1.50K","-0.95%"
"01/09/2026","4.22","4.22","4.22","4.22","0.20K","2.93%"
"01/08/2026","4.10","4.84","4.84","4.10","1.09K","17.14%"
"01/05/2026","3.50","3.50","3.50","3.50","0.27K","-27.08%"
"01/02/2026","4.80","4.80","4.80","4.80","0.05K","-0.83%"
"12/30/2025","4.84","4.84","4.84","4.84","5.00K","37.50%"
"12/29/2025","3.52","3.50","3.52","3.50","1.93K","0.57%"
"12/23/2025","3.50","3.70","3.70","3.50","4.04K","-0.57%"
"12/19/2025","3.52","3.52","3.52","3.52","0.07K","0.00%"
"12/18/2025","3.52","3.62","3.66","3.52","38.22K","-7.37%"
"12/17/2025","3.80","3.72","3.80","3.72","16.60K","2.15%"
"12/16/2025","3.72","3.46","3.72","3.30","51.34K","10.06%"
"12/15/2025","3.38","3.50","3.52","3.38","16.32K","-3.43%"
"12/12/2025","3.50","3.52","3.98","3.50","40.72K","4.79%"
"12/11/2025","3.34","3.30","3.64","3.30","5.79K","2.45%"
"12/10/2025","3.26","3.68","3.68","3.26","13.18K","-11.89%"
"12/09/2025","3.70","3.50","3.70","3.50","1.37K","4.52%"
"12/08/2025","3.54","3.50","3.54","3.50","3.96K","-3.80%"
"12/05/2025","3.68","3.68","3.68","3.68","0.06K","0.00%"
"12/04/2025","3.68","3.48","3.68","3.48","6.86K","-4.66%"
"12/03/2025","3.86","4.00","4.08","3.86","31.50K","-21.86%"
"11/28/2025","4.94","4.94","4.96","3.98","3.25K","9.78%"
"11/27/2025","4.50","4.50","4.50","4.50","0.17K","12.50%"
"11/26/2025","4.00","4.00","4.00","4.00","0.33K","0.50%"
"11/25/2025","3.98","3.98","3.98","3.98","13.00K","5.29%"
"11/24/2025","3.78","3.78","3.78","3.78","4.05K","5.00%"
"11/21/2025","3.60","3.62","3.74","3.60","30.00K","-0.55%"
"11/20/2025","3.62","3.70","3.70","3.62","2.00K","0.56%"
"11/18/2025","3.60","3.60","3.60","3.60","0.54K","-5.26%"
"11/17/2025","3.80","3.46","3.80","3.46","0.12K","-15.93%"
"11/14/2025","4.52","4.52","4.52","4.48","0.47K","0.00%"
"11/13/2025","4.52","4.12","4.60","4.12","21.19K","13.00%"
"11/12/2025","4.00","5.50","5.50","4.00","19.32K","-27.27%"
"11/11/2025","5.50","5.05","5.80","5.05","10.00K","0.00%"
"11/07/2025","5.50","5.50","5.50","5.50","0.25K","0.00%"
"11/06/2025","5.50","5.65","5.65","5.50","5.13K","7.84%"
"11/05/2025","5.10","5.80","5.80","4.98","18.78K","-12.82%"
"11/03/2025","5.85","5.85","5.85","5.35","6.46K","0.00%"
"10/31/2025","5.85","5.10","5.85","5.10","7.15K","12.50%"
"10/30/2025","5.20","5.75","5.75","5.15","1.07K","-4.59%"
"10/29/2025","5.45","5.60","6.45","5.25","63.20K","-2.68%"
"10/28/2025","5.60","5.05","5.60","5.05","29.60K","9.80%"
"10/27/2025","5.10","5.30","5.75","5.10","4.76K","-3.77%"
"10/24/2025","5.30","5.40","5.65","5.30","2.65K","0.00%"
"10/23/2025","5.30","5.35","6.00","5.30","21.43K","-15.87%"
"10/22/2025","6.30","6.30","6.30","6.30","0.34K","0.00%"
