"Date","Price","Open","High","Low","Vol.","Change %"
"01/23/2026","0.69","0.72","0.72","0.67","354.49K","2.99%"
"01/22/2026","0.67","0.65","0.71","0.65","228.30K","0.00%"
"01/21/2026","0.67","0.69","0.69","0.66","274.82K","-7.22%"
"01/20/2026","0.72","0.72","0.72","0.67","559.00K","-1.10%"
"01/19/2026","0.73","0.75","0.75","0.70","141.38K","-1.62%"
"01/16/2026","0.74","0.75","0.77","0.70","470.51K","0.00%"
"01/15/2026","0.74","0.75","0.80","0.70","606.80K","-9.76%"
"01/14/2026","0.82","0.94","0.94","0.77","599.96K","-5.75%"
"01/13/2026","0.87","0.79","1.09","0.79","2.41M","16.00%"
"01/12/2026","0.75","0.70","0.75","0.70","432.36K","1.63%"
"01/09/2026","0.74","0.72","0.78","0.68","867.34K","-4.65%"
"01/08/2026","0.77","1.05","1.05","0.75","1.68M","-14.95%"
"01/07/2026","0.91","1.04","1.04","0.80","1.36M","-12.50%"
"01/06/2026","1.04","1.19","1.32","1.00","1.87M","4.00%"
"01/05/2026","1.00","1.00","1.55","0.92","2.48M","64.38%"
"01/02/2026","0.61","0.54","0.70","0.54","3.23M","-46.47%"
"12/30/2025","1.14","1.27","1.34","1.11","1.53M","-9.44%"
"12/29/2025","1.26","1.46","1.46","1.26","1.07M","-69.83%"
"12/23/2025","4.16","3.81","4.43","3.75","72.20K","7.49%"
"12/22/2025","3.87","4.09","4.10","3.80","146.60K","-5.15%"
