"Date","Price","Open","High","Low","Vol.","Change %"
"01/23/2026","8.96","8.96","9.00","8.96","56.89K","-0.44%"
"01/22/2026","9.00","9.00","9.00","8.94","53.43K","0.67%"
"01/21/2026","8.94","8.96","9.00","8.90","50.35K","-0.67%"
"01/20/2026","9.00","9.00","9.00","8.90","50.09K","0.00%"
"01/19/2026","9.00","9.10","9.10","8.96","73.77K","0.00%"
"01/16/2026","9.00","9.20","9.30","9.00","148.05K","-2.17%"
"01/15/2026","9.20","9.26","9.36","9.08","20.12K","-0.65%"
"01/14/2026","9.26","9.20","9.30","9.16","27.83K","-1.91%"
"01/13/2026","9.44","9.48","9.48","9.22","15.97K","-0.63%"
"01/12/2026","9.50","9.50","9.70","9.20","48.91K","0.00%"
"01/09/2026","9.50","9.50","9.50","9.06","171.63K","0.00%"
"01/08/2026","9.50","9.50","9.78","9.04","35.32K","0.00%"
"01/07/2026","9.50","9.62","9.92","9.42","9.28K","-4.43%"
"01/06/2026","9.94","9.60","9.98","9.60","10.71K","-0.20%"
"01/05/2026","9.96","9.98","9.98","9.64","6.56K","-0.20%"
"01/02/2026","9.98","10.00","10.00","9.60","24.71K","1.01%"
"12/30/2025","9.88","9.58","9.98","9.34","16.76K","4.00%"
"12/29/2025","9.50","9.76","9.76","9.30","32.65K","-3.85%"
"12/23/2025","9.88","9.96","10.00","9.52","6.27K","2.70%"
"12/22/2025","9.62","9.52","9.66","9.52","15.59K","-2.43%"
