"Date","Price","Open","High","Low","Vol.","Change %"
"01/23/2026","249.00","234.00","252.00","234.00","3.16K","0.00%"
"01/22/2026","249.00","251.00","253.00","246.00","2.90K","0.81%"
"01/21/2026","247.00","237.00","247.00","233.00","7.38K","6.47%"
"01/20/2026","232.00","230.00","235.00","229.00","13.85K","0.87%"
"01/19/2026","230.00","234.00","237.00","229.00","12.53K","-3.36%"
"01/16/2026","238.00","248.00","248.00","236.00","15.08K","-1.65%"
"01/15/2026","242.00","242.00","247.00","232.00","14.51K","0.41%"
"01/14/2026","241.00","249.00","252.00","241.00","11.81K","-3.21%"
"01/13/2026","249.00","252.00","252.00","247.00","7.29K","0.00%"
"01/12/2026","249.00","259.00","259.00","249.00","6.54K","-3.86%"
"01/09/2026","259.00","264.00","264.00","258.00","2.92K","-2.63%"
"01/08/2026","266.00","257.00","267.00","257.00","4.14K","1.14%"
"01/07/2026","263.00","259.00","268.00","256.00","9.08K","1.15%"
"01/06/2026","260.00","256.00","260.00","256.00","1.37K","1.56%"
"01/05/2026","256.00","270.00","270.00","254.00","3.97K","-1.92%"
"01/02/2026","261.00","264.00","264.00","255.00","4.50K","0.77%"
"12/30/2025","259.00","270.00","270.00","257.00","6.32K","1.97%"
"12/29/2025","254.00","260.00","267.00","254.00","5.05K","-2.31%"
"12/23/2025","260.00","266.00","268.00","260.00","1.67K","-1.14%"
"12/22/2025","263.00","261.00","266.00","261.00","3.65K","0.77%"
"12/19/2025","261.00","260.00","261.00","255.00","5.22K","2.76%"
"12/18/2025","254.00","250.00","259.00","248.00","3.81K","2.42%"
"12/17/2025","248.00","250.00","252.00","246.00","6.61K","0.81%"
"12/16/2025","246.00","247.00","251.00","245.00","24.51K","-2.38%"
"12/15/2025","252.00","262.00","262.00","252.00","3.74K","-0.40%"
"12/12/2025","253.00","262.00","262.00","253.00","19.86K","-3.07%"
"12/11/2025","261.00","250.00","261.00","250.00","13.79K","4.82%"
"12/10/2025","249.00","240.00","249.00","240.00","4.53K","3.32%"
"12/09/2025","241.00","248.00","252.00","241.00","13.63K","-3.60%"
"12/08/2025","250.00","248.00","253.00","248.00","3.03K","0.81%"
"12/05/2025","248.00","260.00","260.00","248.00","4.53K","-2.75%"
"12/04/2025","255.00","251.00","256.00","251.00","2.81K","1.59%"
"12/03/2025","251.00","255.00","257.00","250.00","1.98K","-2.33%"
"12/02/2025","257.00","255.00","261.00","253.00","1.66K","-0.77%"
"12/01/2025","259.00","262.00","262.00","256.00","5.55K","3.19%"
"11/28/2025","251.00","249.00","251.00","241.00","5.72K","4.58%"
"11/27/2025","240.00","247.00","249.00","240.00","6.53K","-2.04%"
"11/26/2025","245.00","269.00","269.00","245.00","1.79K","0.00%"
"11/25/2025","245.00","256.00","256.00","245.00","9.15K","-0.41%"
"11/24/2025","246.00","250.00","250.00","246.00","6.97K","-1.20%"
"11/21/2025","249.00","249.00","253.00","246.00","2.35K","0.00%"
