"Date","Price","Open","High","Low","Vol.","Change %"
"01/23/2026","21.70","21.90","21.90","21.70","5.50K","-0.46%"
"01/22/2026","21.80","21.90","22.30","21.80","10.82K","0.00%"
"01/21/2026","21.80","21.60","21.80","21.60","0.82K","0.46%"
"01/20/2026","21.70","21.70","22.00","21.70","2.29K","0.00%"
"01/19/2026","21.70","21.80","21.80","21.70","7.34K","-0.46%"
"01/16/2026","21.80","21.90","21.90","21.80","12.75K","-0.46%"
"01/15/2026","21.90","22.30","22.30","21.90","1.46K","-1.35%"
"01/14/2026","22.20","22.00","22.30","22.00","4.93K","2.30%"
"01/13/2026","21.70","22.20","22.20","21.70","2.52K","-1.36%"
"01/12/2026","22.00","22.00","22.30","22.00","19.48K","0.00%"
"01/09/2026","22.00","22.50","22.70","21.90","10.49K","-2.22%"
"01/08/2026","22.50","21.70","22.90","21.70","23.63K","2.74%"
"01/07/2026","21.90","22.40","22.40","21.50","17.27K","-2.67%"
"01/06/2026","22.50","22.30","22.50","21.70","8.59K","0.90%"
"01/05/2026","22.30","23.00","23.00","22.10","25.17K","-3.04%"
"01/02/2026","23.00","24.00","24.50","22.50","10.76K","-3.36%"
"12/30/2025","23.80","21.90","23.80","21.50","42.37K","7.69%"
"12/29/2025","22.10","22.10","22.80","21.70","25.84K","-4.33%"
"12/23/2025","23.10","24.90","24.90","22.90","32.84K","-6.10%"
"12/22/2025","24.60","25.20","25.30","24.00","33.11K","-5.38%"
"12/19/2025","26.00","26.40","26.40","25.50","7.23K","0.00%"
"12/18/2025","26.00","26.00","26.00","25.60","8.79K","0.39%"
"12/17/2025","25.90","26.50","26.50","25.60","8.36K","1.57%"
"12/16/2025","25.50","26.50","26.50","25.40","27.88K","-1.92%"
"12/15/2025","26.00","25.90","26.40","25.60","63.41K","3.17%"
"12/12/2025","25.20","25.50","26.00","24.70","47.90K","-0.79%"
"12/11/2025","25.40","24.90","25.60","24.40","31.12K","4.10%"
"12/10/2025","24.40","25.20","26.00","23.60","163.08K","3.39%"
"12/09/2025","23.60","21.60","23.70","21.00","52.97K","7.76%"
"12/08/2025","21.90","21.40","22.00","21.40","6.70K","1.39%"
"12/05/2025","21.60","22.10","22.10","21.00","9.53K","-0.46%"
"12/04/2025","21.70","21.70","21.70","21.70","0.36K","-0.46%"
"12/03/2025","21.80","21.40","21.80","21.40","9.91K","1.87%"
"12/02/2025","21.40","21.20","21.40","21.20","3.13K","-4.04%"
"12/01/2025","22.30","21.30","22.30","21.00","13.65K","6.19%"
"11/28/2025","21.00","21.00","21.00","21.00","1.57K","-0.47%"
"11/27/2025","21.10","22.40","22.40","21.10","4.53K","-3.21%"
"11/26/2025","21.80","22.70","22.70","21.80","1.27K","-3.96%"
"11/25/2025","22.70","20.40","22.70","20.40","15.98K","10.19%"
"11/24/2025","20.60","20.30","20.80","20.20","9.69K","-1.44%"
"11/21/2025","20.90","20.90","20.90","20.90","0.35K","-1.88%"
"11/20/2025","21.30","21.30","21.40","20.80","5.72K","-0.93%"
"11/19/2025","21.50","21.20","21.50","21.20","2.50K","1.90%"
"11/18/2025","21.10","21.30","21.30","20.60","10.23K","-2.76%"
"11/17/2025","21.70","21.60","21.70","21.40","8.56K","0.46%"
"11/14/2025","21.60","21.80","21.80","21.60","2.00K","-0.92%"
"11/13/2025","21.80","21.00","23.00","21.00","5.59K","1.40%"
