"Date","Price","Open","High","Low","Vol.","Change %"
"01/23/2026","34.40","35.00","35.00","34.40","0.01K","0.00%"
"01/22/2026","34.40","35.00","35.00","34.40","0.63K","-1.15%"
"01/21/2026","34.80","34.80","34.80","34.80","0.00K","-0.57%"
"01/20/2026","35.00","34.20","35.00","34.00","0.91K","0.00%"
"01/19/2026","35.00","35.00","35.00","35.00","0.01K","2.34%"
"01/16/2026","34.20","34.20","34.80","34.20","0.53K","-0.58%"
"01/15/2026","34.40","34.40","34.40","34.40","0.00K","0.00%"
"01/14/2026","34.40","31.80","34.60","31.80","2.43K","-1.71%"
"01/12/2026","35.00","38.20","38.20","33.00","1.16K","-2.23%"
"01/09/2026","35.80","35.60","35.80","35.60","26.20K","-3.24%"
"01/08/2026","37.00","37.00","37.00","37.00","0.00K","0.54%"
"01/07/2026","36.80","36.80","36.80","36.80","0.02K","0.55%"
"01/05/2026","36.60","33.20","36.60","33.20","0.47K","1.67%"
"01/02/2026","36.00","37.00","37.00","36.00","0.10K","-2.70%"
"12/30/2025","37.00","37.80","38.00","37.00","0.52K","-1.60%"
"12/29/2025","37.60","37.40","37.60","37.40","0.33K","1.08%"
"12/23/2025","37.20","37.20","37.20","37.20","0.01K","0.00%"
"12/22/2025","37.20","37.20","37.20","37.20","","0.00%"
"12/19/2025","37.20","37.20","37.20","37.20","","0.00%"
"12/18/2025","37.20","37.20","37.20","37.20","0.01K","12.05%"
"12/17/2025","33.20","38.40","38.40","33.20","0.08K","-7.78%"
"12/16/2025","36.00","37.00","37.00","36.00","8.44K","0.00%"
"12/15/2025","36.00","36.40","36.40","35.00","3.68K","0.00%"
"12/12/2025","36.00","36.00","36.00","36.00","0.28K","-1.10%"
"12/11/2025","36.40","36.40","36.40","36.40","0.01K","1.11%"
"12/10/2025","36.00","36.00","36.00","36.00","18.07K","0.00%"
"12/09/2025","36.00","36.00","36.40","36.00","2.01K","-1.64%"
"12/08/2025","36.60","37.00","37.00","36.60","0.01K","-0.54%"
"12/03/2025","36.80","36.80","36.80","36.80","0.01K","8.24%"
"12/02/2025","34.00","36.00","36.00","31.60","22.05K","-2.86%"
"12/01/2025","35.00","36.00","36.20","35.00","1.25K","-3.85%"
"11/28/2025","36.40","35.80","36.40","35.80","3.15K","1.68%"
"11/27/2025","35.80","35.80","35.80","35.80","0.01K","11.87%"
"11/26/2025","32.00","35.60","35.60","32.00","0.01K","-5.33%"
"11/25/2025","33.80","33.00","35.40","33.00","1.85K","-5.06%"
"11/24/2025","35.60","35.60","35.60","35.60","0.01K","11.25%"
"11/21/2025","32.00","35.80","35.80","32.00","40.32K","5.26%"
"11/20/2025","30.40","30.40","30.40","30.40","0.30K","-14.12%"
"11/19/2025","35.40","36.00","36.00","35.40","0.04K","0.57%"
"11/18/2025","35.20","36.00","36.00","35.20","0.02K","5.39%"
"11/17/2025","33.40","33.40","33.40","33.40","0.29K","-7.22%"
"11/14/2025","36.00","36.00","36.00","36.00","0.00K","1.12%"
"11/13/2025","35.60","35.40","35.60","35.40","0.01K","1.71%"
"11/12/2025","35.00","36.80","36.80","35.00","0.75K","0.57%"
"11/11/2025","34.80","38.00","38.00","34.80","0.03K","2.35%"
"11/10/2025","34.00","34.20","38.00","34.00","2.63K","-0.58%"
"11/07/2025","34.20","37.40","37.40","33.40","3.00K","-0.58%"
"11/06/2025","34.40","36.20","36.20","33.20","9.72K","1.18%"
"11/05/2025","34.00","36.20","36.20","34.00","2.08K","-8.11%"
"11/03/2025","37.00","38.00","38.00","36.20","1.89K","2.78%"
"10/31/2025","36.00","36.00","36.00","32.20","3.15K","0.00%"
"10/30/2025","36.00","35.20","36.00","34.60","1.33K","0.56%"
"10/29/2025","35.80","35.80","35.80","35.80","0.08K","0.56%"
"10/28/2025","35.60","34.80","35.60","34.80","0.12K","-0.56%"
"10/27/2025","35.80","35.80","35.80","35.80","0.04K","0.00%"
"10/24/2025","35.80","34.60","35.80","34.60","0.26K","-0.56%"
"10/23/2025","36.00","36.00","36.00","36.00","0.01K","0.56%"
"10/22/2025","35.80","35.80","35.80","35.80","0.01K","3.47%"
"10/21/2025","34.60","35.00","35.00","34.60","0.50K","-3.35%"
"10/20/2025","35.80","37.80","37.80","35.80","22.18K","5.29%"
"10/17/2025","34.00","37.00","37.00","32.80","7.95K","3.03%"
"10/16/2025","33.00","33.00","33.00","33.00","200.06K","-7.82%"
"10/15/2025","35.80","35.80","36.40","35.80","24.22K","2.29%"
"10/14/2025","35.00","35.00","36.20","35.00","0.03K","0.00%"
"10/13/2025","35.00","36.00","36.80","35.00","0.68K","-0.57%"
"10/10/2025","35.20","35.80","35.80","35.20","0.17K","0.00%"
"10/09/2025","35.20","35.80","35.80","35.00","4.59K","0.57%"
"10/08/2025","35.00","35.60","35.60","35.00","0.16K","0.00%"
"10/07/2025","35.00","35.60","35.60","35.00","1.59K","0.00%"
"10/06/2025","35.00","36.00","36.00","35.00","0.33K","-0.57%"
"10/03/2025","35.20","35.20","35.20","35.20","0.46K","-2.22%"
"10/02/2025","36.00","35.80","36.80","35.80","9.91K","2.86%"
"10/01/2025","35.00","35.00","35.00","35.00","1.77K","-4.37%"
"09/30/2025","36.60","35.00","36.60","35.00","30.63K","4.57%"
"09/29/2025","35.00","36.20","36.20","35.00","0.01K","0.00%"
"09/26/2025","35.00","35.00","36.00","35.00","1.38K","0.00%"
"09/25/2025","35.00","36.20","36.60","35.00","4.04K","-1.69%"
"09/24/2025","35.60","36.20","36.20","35.60","0.01K","1.14%"
"09/23/2025","35.20","36.20","36.20","35.20","0.07K","0.57%"
"09/22/2025","35.00","35.80","36.40","35.00","110.45K","0.00%"
"09/19/2025","35.00","36.40","36.40","35.00","0.14K","0.00%"
"09/18/2025","35.00","36.40","36.40","35.00","1.51K","-4.37%"
"09/17/2025","36.60","36.60","36.60","36.60","0.01K","3.98%"
"09/16/2025","35.20","36.80","36.80","35.20","0.74K","-9.28%"
"09/15/2025","38.80","38.80","38.80","38.80","0.28K","4.86%"
"09/12/2025","37.00","35.00","37.00","35.00","2.77K","2.78%"
"09/11/2025","36.00","35.00","36.00","35.00","0.23K","2.27%"
"09/10/2025","35.20","36.60","37.00","35.00","8.30K","0.57%"
"09/09/2025","35.00","35.80","37.20","35.00","3.14K","-1.13%"
"09/08/2025","35.40","35.00","36.80","35.00","0.14K","1.14%"
"09/05/2025","35.00","36.00","36.80","35.00","0.53K","-2.78%"
"09/04/2025","36.00","37.40","37.40","36.00","0.60K","1.12%"
"09/03/2025","35.60","37.40","37.40","35.60","0.04K","1.14%"
"09/02/2025","35.20","37.60","37.60","35.20","0.05K","0.00%"
"09/01/2025","35.20","37.00","37.00","35.20","1.65K","-4.86%"
"08/29/2025","37.00","35.20","37.00","35.00","23.89K","2.78%"
"08/28/2025","36.00","36.00","36.00","36.00","0.01K","0.00%"
"08/27/2025","36.00","36.60","37.00","36.00","1.80K","-1.64%"
"08/22/2025","36.60","35.20","36.60","35.20","0.32K","-1.08%"
"08/21/2025","37.00","37.00","37.00","37.00","0.05K","0.00%"
"08/20/2025","37.00","37.00","37.00","37.00","100.01K","6.32%"
"08/19/2025","34.80","35.00","36.00","34.80","1.16K","-2.79%"
"08/18/2025","35.80","37.00","37.00","35.40","0.38K","2.29%"
"08/15/2025","35.00","35.00","35.00","35.00","2.28K","-6.42%"
"08/14/2025","37.40","37.40","37.40","37.40","0.01K","1.08%"
"08/13/2025","37.00","37.00","37.40","37.00","0.56K","0.54%"
"08/12/2025","36.80","37.20","37.20","35.20","1.83K","8.24%"
"08/11/2025","34.00","34.00","34.00","34.00","2.25K","-9.57%"
"08/08/2025","37.60","36.00","37.60","36.00","4.40K","4.44%"
"08/07/2025","36.00","37.60","37.60","36.00","2.55K","-0.55%"
"08/06/2025","36.20","36.20","38.20","36.00","0.60K","0.56%"
"08/05/2025","36.00","38.40","38.40","36.00","0.20K","-2.70%"
"08/04/2025","37.00","37.00","37.00","37.00","0.87K","-4.15%"
"07/31/2025","38.60","37.00","38.60","36.20","4.47K","-0.52%"
"07/24/2025","38.80","38.80","38.80","38.80","0.09K","0.00%"
"07/23/2025","38.80","37.00","38.80","37.00","4.41K","4.86%"
