"Date","Price","Open","High","Low","Vol.","Change %"
"01/26/2026","131.70","134.20","134.10","131.20","523.85K","-1.79%"
"01/23/2026","134.10","137.90","137.90","132.50","834.85K","-2.76%"
"01/22/2026","137.90","137.00","139.60","136.00","1.15M","2.60%"
"01/21/2026","134.40","133.80","135.80","130.30","857.08K","2.05%"
"01/20/2026","131.70","131.30","132.60","129.10","892.93K","-0.08%"
"01/19/2026","131.80","133.50","133.90","131.30","1.01M","-4.01%"
"01/16/2026","137.30","137.90","140.20","136.20","897.20K","-0.94%"
"01/15/2026","138.60","134.50","139.00","134.50","973.76K","4.05%"
"01/14/2026","133.20","138.80","138.80","132.70","914.82K","-3.13%"
"01/13/2026","137.50","136.60","139.00","134.70","751.06K","0.73%"
"01/12/2026","136.50","138.60","139.70","136.50","537.59K","-1.16%"
"01/09/2026","138.10","138.00","139.30","137.00","639.88K","0.51%"
"01/08/2026","137.40","140.40","143.30","136.80","701.20K","-2.14%"
"01/07/2026","140.40","140.00","141.50","138.00","1.05M","1.74%"
"01/06/2026","138.00","137.50","138.90","135.90","771.22K","0.95%"
"01/05/2026","136.70","139.40","140.20","134.50","675.35K","-0.44%"
"01/02/2026","137.30","134.20","139.00","133.90","658.60K","3.00%"
"12/30/2025","133.30","132.40","134.40","132.40","530.51K","0.83%"
"12/29/2025","132.20","130.40","133.00","130.40","552.05K","1.77%"
"12/23/2025","129.90","127.90","130.80","127.60","312.71K","1.09%"
"12/22/2025","128.50","129.00","130.10","127.30","382.56K","0.16%"
"12/19/2025","128.30","127.00","128.30","126.10","1.99M","0.94%"
"12/18/2025","127.10","127.20","127.70","125.10","893.42K","-1.32%"
"12/17/2025","128.80","130.20","130.70","128.50","459.68K","-0.08%"
"12/16/2025","128.90","128.90","129.70","127.00","423.43K","-0.08%"
"12/15/2025","129.00","130.10","131.80","129.00","490.05K","-1.90%"
"12/12/2025","131.50","130.20","132.10","129.00","414.17K","1.08%"
"12/11/2025","130.10","129.90","132.40","128.60","561.84K","0.15%"
"12/10/2025","129.90","134.10","135.10","129.80","800.15K","-3.42%"
"12/09/2025","134.50","135.10","136.60","133.10","578.64K","-0.44%"
"12/08/2025","135.10","136.70","137.00","134.40","430.75K","-1.31%"
"12/05/2025","136.90","137.00","138.40","135.70","501.66K","0.07%"
"12/04/2025","136.80","136.10","137.00","134.10","684.26K","2.86%"
"12/03/2025","133.00","132.20","134.10","131.20","689.24K","1.14%"
"12/02/2025","131.50","131.40","132.00","129.60","603.40K","0.46%"
"12/01/2025","130.90","130.60","130.90","127.60","778.59K","-2.46%"
"11/28/2025","134.20","134.30","135.60","133.60","738.90K","-0.15%"
"11/27/2025","134.40","131.80","135.00","131.20","462.96K","2.36%"
"11/26/2025","131.30","129.60","131.50","127.90","1.12M","2.66%"
"11/25/2025","127.90","131.00","132.10","126.00","1.08M","-1.92%"
"11/24/2025","130.40","132.00","133.00","128.90","928.55K","0.00%"
"11/21/2025","130.40","128.00","131.40","126.50","1.24M","-2.76%"
"11/20/2025","134.10","135.00","136.90","133.60","1.08M","2.29%"
"11/19/2025","131.10","128.40","131.80","125.20","1.25M","2.26%"
"11/18/2025","128.20","132.00","132.40","127.20","1.10M","-5.25%"
"11/17/2025","135.30","138.40","138.80","134.00","473.64K","-1.24%"
"11/14/2025","137.00","137.20","137.50","133.70","1.10M","-0.72%"
"11/13/2025","138.00","138.50","139.50","137.10","793.89K","-0.07%"
"11/12/2025","138.10","136.20","140.80","135.80","793.66K","2.83%"
"11/11/2025","134.30","135.40","138.90","134.10","888.53K","-1.40%"
"11/10/2025","136.20","135.00","137.00","134.70","927.78K","2.95%"
"11/07/2025","132.30","135.50","136.80","131.80","2.85M","-3.15%"
"11/06/2025","136.60","138.80","139.40","135.30","829.20K","-1.73%"
"11/05/2025","139.00","140.50","142.60","138.20","1.03M","-2.73%"
"11/04/2025","142.90","144.50","145.30","141.50","778.94K","-2.39%"
"11/03/2025","146.40","145.90","150.20","145.70","1.02M","-0.41%"
"10/31/2025","147.00","149.00","149.90","144.80","945.94K","-1.47%"
"10/30/2025","149.20","153.40","154.40","149.20","1.06M","-4.30%"
"10/29/2025","155.90","156.00","162.00","152.00","2.65M","-6.48%"
"10/28/2025","166.70","166.00","169.80","164.70","762.12K","-0.48%"
"10/27/2025","167.50","164.60","167.50","164.20","578.51K","2.38%"
"10/24/2025","163.60","166.30","166.50","163.20","361.36K","-0.24%"
"10/23/2025","164.00","165.00","165.20","160.40","399.66K","-0.55%"
"10/22/2025","164.90","166.60","167.40","163.00","349.29K","-1.08%"
"10/21/2025","166.70","165.50","168.20","165.30","351.21K","1.03%"
"10/20/2025","165.00","164.00","166.20","162.20","399.37K","0.55%"
"10/17/2025","164.10","165.70","165.90","160.80","381.56K","-2.55%"
"10/16/2025","168.40","164.90","168.50","163.30","389.48K","2.12%"
"10/15/2025","164.90","161.20","165.70","161.20","499.96K","4.24%"
"10/14/2025","158.20","158.10","159.40","155.60","624.22K","-0.69%"
"10/13/2025","159.30","162.00","164.00","157.50","676.19K","-3.16%"
"10/10/2025","164.50","166.40","168.00","163.00","597.08K","1.86%"
"10/09/2025","161.50","158.20","161.80","158.20","418.48K","1.89%"
"10/08/2025","158.50","159.80","160.10","155.40","494.81K","-1.43%"
"10/07/2025","160.80","165.00","166.10","160.80","320.23K","-2.43%"
"10/06/2025","164.80","161.30","164.80","158.70","478.40K","2.17%"
"10/03/2025","161.30","160.20","162.10","158.20","449.91K","2.02%"
"10/02/2025","158.10","158.20","160.00","156.50","290.06K","0.19%"
"10/01/2025","157.80","154.30","159.40","154.30","1.11M","3.27%"
"09/30/2025","152.80","153.70","154.00","151.60","307.83K","-0.71%"
"09/29/2025","153.90","155.00","155.90","153.00","339.86K","0.13%"
"09/26/2025","153.70","154.70","155.10","152.10","332.40K","-0.58%"
