"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2025","78.20","77.68","78.32","77.30","2.36M","1.19%"
"12/29/2025","77.28","78.88","79.12","77.28","3.02M","-0.77%"
"12/23/2025","77.88","77.18","77.94","76.90","2.17M","0.46%"
"12/22/2025","77.52","78.60","78.88","77.10","2.44M","-0.21%"
"12/19/2025","77.68","77.66","78.46","77.46","8.12M","0.47%"
"12/18/2025","77.32","77.28","78.18","77.20","4.53M","-0.46%"
"12/17/2025","77.68","76.98","78.14","76.36","4.37M","2.24%"
"12/16/2025","75.98","74.60","76.70","74.60","3.88M","1.47%"
"12/15/2025","74.88","75.56","76.10","74.68","2.85M","-1.21%"
"12/12/2025","75.80","75.88","76.34","75.70","2.89M","-0.08%"
"12/11/2025","75.86","75.08","76.22","74.54","3.71M","1.63%"
"12/10/2025","74.64","74.72","75.32","74.28","3.84M","0.40%"
"12/09/2025","74.34","73.64","74.36","73.50","4.29M","0.05%"
"12/08/2025","74.30","73.92","74.46","73.84","4.17M","0.46%"
"12/05/2025","73.96","75.34","77.36","73.64","6.03M","0.05%"
"12/04/2025","73.92","73.20","74.02","73.06","2.53M","1.40%"
"12/03/2025","72.90","72.90","73.56","72.60","3.27M","1.39%"
"12/02/2025","71.90","72.64","72.64","71.68","3.22M","-0.99%"
"12/01/2025","72.62","72.28","73.54","72.24","3.58M","0.33%"
"11/28/2025","72.38","72.18","72.96","72.00","2.96M","0.28%"
"11/27/2025","72.18","69.68","72.64","69.60","3.59M","1.40%"
"11/26/2025","71.18","72.40","72.40","70.36","2.79M","-0.61%"
"11/25/2025","71.62","72.68","73.16","71.20","3.40M","-0.33%"
"11/24/2025","71.86","71.50","72.32","71.02","6.90M","1.87%"
"11/21/2025","70.54","70.00","70.54","69.34","3.79M","-0.54%"
"11/20/2025","70.92","71.50","71.56","70.56","2.31M","-0.11%"
"11/19/2025","71.00","70.36","71.28","70.12","2.81M","1.40%"
"11/18/2025","70.02","70.88","70.88","69.84","4.31M","-3.21%"
"11/17/2025","72.34","73.06","73.42","72.34","2.03M","-0.63%"
"11/14/2025","72.80","73.96","74.04","71.82","3.41M","-2.12%"
"11/13/2025","74.38","74.30","74.76","73.70","4.04M","0.30%"
"11/12/2025","74.16","71.92","74.26","71.88","4.52M","3.32%"
"11/11/2025","71.78","71.24","71.90","70.92","3.83M","0.31%"
"11/10/2025","71.56","70.74","72.36","70.66","6.63M","2.43%"
"11/07/2025","69.86","69.00","70.52","69.00","4.24M","1.42%"
"11/06/2025","68.88","67.40","69.02","67.40","2.83M","1.38%"
"11/05/2025","67.94","67.00","67.94","67.00","2.02M","0.83%"
"11/04/2025","67.38","67.68","67.78","66.88","3.07M","-1.43%"
"11/03/2025","68.36","68.50","68.92","67.78","3.59M","-0.26%"
"10/31/2025","68.54","67.08","68.54","67.08","5.27M","1.90%"
"10/30/2025","67.26","68.58","68.62","66.54","5.67M","-2.32%"
"10/29/2025","68.86","69.02","69.60","68.86","3.15M","0.32%"
"10/28/2025","68.64","67.76","68.88","67.60","2.60M","0.56%"
"10/27/2025","68.26","67.88","68.66","67.60","3.68M","-0.20%"
"10/24/2025","68.40","68.28","70.16","67.52","8.37M","-3.50%"
"10/23/2025","70.88","70.32","70.88","69.48","7.03M","0.94%"
"10/22/2025","70.22","70.02","70.86","69.84","4.17M","1.12%"
