"Date","Price","Open","High","Low","Vol.","Change %"
"01/23/2026","2.76","2.65","2.79","2.62","924.93K","5.34%"
"01/22/2026","2.62","2.50","2.64","2.50","425.18K","5.31%"
"01/21/2026","2.49","2.47","2.50","2.40","232.31K","0.89%"
"01/20/2026","2.47","2.50","2.56","2.45","549.12K","-2.76%"
"01/19/2026","2.54","2.64","2.65","2.47","1.14M","-3.94%"
"01/16/2026","2.64","2.42","2.64","2.41","919.90K","6.97%"
"01/15/2026","2.47","2.55","2.55","2.42","397.78K","-2.45%"
"01/14/2026","2.53","2.46","2.54","2.44","744.29K","2.43%"
"01/13/2026","2.47","2.38","2.49","2.36","910.72K","3.69%"
"01/12/2026","2.38","2.32","2.40","2.26","384.35K","4.38%"
"01/09/2026","2.28","2.26","2.32","2.25","296.90K","-0.35%"
"01/08/2026","2.29","2.30","2.33","2.28","244.36K","0.70%"
"01/07/2026","2.27","2.31","2.31","2.24","459.06K","-1.64%"
"01/06/2026","2.31","2.21","2.32","2.21","416.54K","2.12%"
"01/05/2026","2.26","2.30","2.34","2.26","1.03M","-3.90%"
"01/02/2026","2.36","2.41","2.53","2.36","674.38K","-2.32%"
"12/30/2025","2.41","2.30","2.45","2.30","842.64K","3.25%"
"12/29/2025","2.34","2.34","2.40","2.30","900.81K","0.00%"
"12/23/2025","2.34","2.30","2.35","2.30","549.87K","1.74%"
"12/22/2025","2.30","2.26","2.34","2.26","1.07M","1.77%"
