"Date","Price","Open","High","Low","Vol.","Change %"
"01/26/2026","129.29","130.43","130.54","129.29","","-0.89%"
"01/23/2026","130.45","130.49","130.85","129.04","","-0.02%"
"01/22/2026","130.47","129.08","130.96","129.08","","1.10%"
"01/21/2026","129.05","127.68","129.38","126.75","","1.08%"
"01/20/2026","127.67","127.60","127.95","126.97","","0.05%"
"01/19/2026","127.60","131.05","131.05","127.51","","-2.68%"
"01/16/2026","131.12","131.70","131.82","130.97","","-0.44%"
"01/15/2026","131.70","130.00","132.00","129.90","","1.31%"
"01/14/2026","130.00","131.51","131.64","129.15","","-1.15%"
"01/13/2026","131.51","132.10","132.53","131.14","","-0.17%"
"01/12/2026","131.73","132.70","133.20","131.70","","-0.66%"
"01/09/2026","132.61","131.70","133.45","131.70","","0.77%"
"01/08/2026","131.60","130.90","133.26","130.90","","0.56%"
"01/07/2026","130.87","129.75","130.87","129.43","","0.86%"
"01/06/2026","129.75","128.85","130.13","128.85","","0.46%"
"01/05/2026","129.15","129.55","130.42","128.45","","-0.29%"
"01/02/2026","129.52","129.66","131.87","129.51","","-0.09%"
"12/30/2025","129.64","128.77","129.82","128.62","","0.67%"
"12/29/2025","128.78","125.56","129.04","125.16","","2.57%"
"12/23/2025","125.55","125.52","125.77","124.85","","0.03%"
"12/22/2025","125.51","125.98","126.89","125.20","","-0.37%"
"12/19/2025","125.98","124.68","126.01","124.54","","1.04%"
"12/18/2025","124.68","125.65","125.65","124.26","","-0.77%"
"12/17/2025","125.65","126.83","127.30","125.65","","-0.76%"
"12/16/2025","126.61","127.37","127.60","126.20","","-0.60%"
"12/15/2025","127.37","130.99","130.99","127.37","","-2.76%"
"12/12/2025","130.99","129.22","131.57","129.22","","1.37%"
"12/11/2025","129.22","128.40","129.37","128.27","","0.63%"
"12/10/2025","128.41","129.68","130.89","128.40","","-0.96%"
"12/09/2025","129.66","129.79","130.18","128.81","","-0.10%"
"12/08/2025","129.79","127.96","130.21","127.89","","1.43%"
"12/05/2025","127.96","125.59","128.11","125.59","","1.89%"
"12/04/2025","125.59","124.06","126.10","124.06","","1.24%"
"12/03/2025","124.05","123.46","124.71","123.02","","0.49%"
"12/02/2025","123.45","125.51","125.51","123.45","","-1.63%"
"12/01/2025","125.50","126.36","126.52","124.76","","-0.62%"
"11/28/2025","126.28","126.65","127.18","125.87","","-0.28%"
"11/27/2025","126.63","125.57","126.69","125.02","","0.84%"
"11/26/2025","125.57","123.73","125.57","123.64","","1.49%"
"11/25/2025","123.73","126.38","126.48","122.98","","-2.05%"
"11/24/2025","126.32","123.58","126.34","123.58","","2.19%"
"11/21/2025","123.61","125.77","125.77","122.39","","-1.71%"
"11/20/2025","125.76","125.23","127.09","125.23","","0.42%"
"11/19/2025","125.23","125.17","126.04","123.52","","0.27%"
"11/18/2025","124.89","128.55","128.55","124.58","","-2.85%"
"11/17/2025","128.56","129.53","131.19","128.48","","-0.73%"
"11/14/2025","129.50","129.59","129.82","128.03","","-0.05%"
"11/13/2025","129.57","128.72","129.86","128.05","","0.70%"
"11/12/2025","128.67","130.14","130.84","127.80","","-1.14%"
"11/11/2025","130.16","134.06","134.90","130.16","","-2.89%"
"11/10/2025","134.03","132.72","135.21","132.72","","1.09%"
"11/07/2025","132.59","136.73","136.76","131.70","","-3.03%"
"11/06/2025","136.73","138.63","138.72","135.76","","-1.36%"
"11/05/2025","138.61","141.09","141.30","138.42","","-2.04%"
"11/04/2025","141.50","144.23","144.23","139.49","","-1.95%"
"11/03/2025","144.32","142.41","145.24","142.07","","1.34%"
"10/31/2025","142.41","142.89","143.48","140.66","","-0.32%"
"10/30/2025","142.87","144.78","144.78","142.65","","-1.31%"
"10/29/2025","144.77","146.32","148.47","144.73","","-1.06%"
"10/28/2025","146.32","144.14","149.03","143.82","","1.55%"
"10/27/2025","144.09","141.21","144.49","141.21","","2.04%"
"10/24/2025","141.21","140.07","141.83","139.58","","0.81%"
"10/23/2025","140.07","139.69","140.20","137.63","","0.30%"
"10/22/2025","139.65","138.67","139.81","137.57","","0.68%"
"10/21/2025","138.70","137.97","139.31","137.72","","0.53%"
"10/20/2025","137.97","138.97","139.77","137.61","","-0.87%"
"10/17/2025","139.18","141.91","141.91","137.75","","-1.93%"
"10/16/2025","141.92","140.78","141.93","140.41","","0.82%"
"10/15/2025","140.77","138.81","141.13","138.81","","1.42%"
"10/14/2025","138.80","139.47","139.69","138.72","","-0.49%"
"10/13/2025","139.48","142.58","142.58","139.46","","-2.17%"
"10/10/2025","142.58","141.76","143.95","141.70","","0.56%"
"10/09/2025","141.79","140.14","144.77","140.14","","1.18%"
"10/08/2025","140.14","141.66","141.91","139.58","","-1.19%"
"10/07/2025","141.83","141.55","142.24","140.44","","0.20%"
"10/06/2025","141.55","142.09","143.27","141.19","","-0.35%"
"10/03/2025","142.05","141.34","142.35","140.73","","0.50%"
"10/02/2025","141.34","140.55","142.23","140.55","","0.56%"
"10/01/2025","140.55","139.58","140.81","139.34","","0.69%"
"09/30/2025","139.58","138.22","140.10","137.86","","0.98%"
"09/29/2025","138.22","138.63","139.49","138.12","","-0.30%"
"09/26/2025","138.63","139.30","139.33","138.23","","-0.47%"
"09/25/2025","139.29","141.33","142.06","139.29","","-1.44%"
"09/24/2025","141.33","142.54","142.54","140.80","","-0.85%"
"09/23/2025","142.54","142.47","143.84","142.04","","0.05%"
"09/22/2025","142.47","144.08","144.53","142.19","","-1.11%"
"09/19/2025","144.07","146.25","146.69","143.95","","-1.46%"
"09/18/2025","146.21","146.23","146.90","145.19","","-0.01%"
"09/17/2025","146.23","147.06","147.96","145.34","","-0.58%"
"09/16/2025","147.09","146.93","147.30","145.80","","0.13%"
"09/15/2025","146.90","146.09","147.82","146.09","","0.55%"
"09/12/2025","146.09","147.55","147.58","145.37","","-0.96%"
"09/11/2025","147.50","148.13","148.54","146.72","","-0.38%"
"09/10/2025","148.06","147.73","151.00","147.73","","0.24%"
"09/09/2025","147.70","147.20","147.77","146.87","","0.34%"
"09/08/2025","147.20","144.61","147.56","144.61","","1.79%"
"09/05/2025","144.61","143.95","145.05","143.91","","0.40%"
"09/04/2025","144.03","143.23","145.04","143.16","","0.52%"
"09/03/2025","143.29","143.82","144.79","142.80","","-0.37%"
"09/02/2025","143.82","147.69","147.70","142.64","","-2.62%"
"09/01/2025","147.69","148.13","148.92","147.23","","-0.34%"
"08/29/2025","148.19","148.69","149.40","148.16","","-0.26%"
"08/28/2025","148.57","148.64","149.62","148.23","","-0.05%"
"08/27/2025","148.64","150.24","150.24","148.51","","-1.01%"
"08/26/2025","150.15","150.39","151.42","150.09","","-0.21%"
"08/25/2025","150.47","151.59","151.75","150.16","","-0.75%"
"08/22/2025","151.61","151.52","151.99","151.06","","0.07%"
"08/21/2025","151.51","151.32","152.11","151.06","","0.13%"
"08/20/2025","151.32","153.31","153.31","150.78","","-1.27%"
"08/19/2025","153.26","153.09","153.51","152.61","","0.10%"
"08/18/2025","153.11","153.88","154.09","152.53","","-0.50%"
"08/15/2025","153.88","153.22","153.88","152.98","","0.44%"
"08/14/2025","153.21","151.68","153.43","151.68","","1.01%"
"08/13/2025","151.68","147.61","152.92","147.60","","2.76%"
