"Date","Price","Open","High","Low","Vol.","Change %"
"01/23/2026","0.70","0.70","0.70","0.68","277.78K","2.94%"
"01/22/2026","0.68","0.65","0.70","0.65","143.41K","1.49%"
"01/21/2026","0.67","0.68","0.69","0.65","477.80K","-4.29%"
"01/20/2026","0.70","0.69","0.70","0.68","384.35K","0.00%"
"01/19/2026","0.70","0.72","0.72","0.70","256.56K","-2.10%"
"01/16/2026","0.71","0.75","0.75","0.70","870.77K","-4.67%"
"01/15/2026","0.75","0.75","0.76","0.70","386.18K","0.00%"
"01/14/2026","0.75","0.78","0.79","0.73","400.62K","-4.46%"
"01/13/2026","0.79","0.82","0.82","0.76","103.50K","0.00%"
"01/12/2026","0.79","0.81","0.81","0.78","250.71K","-3.07%"
"01/09/2026","0.81","0.73","0.82","0.73","441.77K","7.24%"
"01/08/2026","0.76","0.71","0.76","0.67","421.21K","2.01%"
"01/07/2026","0.75","0.74","0.77","0.74","200.22K","0.00%"
"01/06/2026","0.75","0.75","0.76","0.74","140.65K","1.36%"
"01/05/2026","0.74","0.70","0.75","0.70","89.97K","5.00%"
"01/02/2026","0.70","0.74","0.74","0.70","283.60K","-5.41%"
"12/30/2025","0.74","0.79","0.79","0.69","335.45K","5.71%"
"12/29/2025","0.70","0.74","0.81","0.69","784.42K","-5.41%"
"12/23/2025","0.74","0.71","0.79","0.69","462.26K","0.00%"
"12/22/2025","0.75","0.68","0.75","0.67","1.96M","11.19%"
"12/19/2025","0.67","0.66","0.74","0.66","504.40K","-1.47%"
"12/18/2025","0.68","0.76","0.76","0.66","285.89K","-8.11%"
"12/17/2025","0.74","0.76","0.76","0.69","569.02K","-2.63%"
"12/16/2025","0.76","0.78","0.78","0.75","148.95K","-4.40%"
"12/15/2025","0.80","0.83","0.83","0.70","938.12K","0.00%"
"12/12/2025","0.80","0.75","0.90","0.71","4.42M","21.21%"
"12/11/2025","0.66","0.70","0.70","0.65","581.66K","-5.04%"
"12/10/2025","0.69","0.70","0.70","0.66","152.24K","-2.11%"
"12/09/2025","0.71","0.72","0.72","0.67","127.80K","1.43%"
"12/08/2025","0.70","0.75","0.75","0.66","584.94K","2.94%"
"12/05/2025","0.68","0.64","0.68","0.61","1.17M","7.94%"
"12/04/2025","0.63","0.65","0.65","0.62","74.91K","0.00%"
"12/03/2025","0.63","0.57","0.65","0.57","1.15M","7.76%"
"12/02/2025","0.58","0.56","0.59","0.56","195.66K","0.00%"
"12/01/2025","0.57","0.57","0.57","0.56","64.73K","0.00%"
"11/28/2025","0.57","0.57","0.61","0.56","352.67K","-1.72%"
"11/27/2025","0.58","0.60","0.60","0.57","290.84K","-2.52%"
"11/26/2025","0.60","0.62","0.62","0.58","211.15K","0.00%"
"11/25/2025","0.60","0.57","0.60","0.57","206.99K","4.39%"
"11/24/2025","0.57","0.60","0.60","0.57","313.33K","-2.56%"
"11/21/2025","0.58","0.59","0.62","0.57","502.43K","-5.65%"
"11/20/2025","0.62","0.64","0.64","0.60","59.30K","0.00%"
"11/19/2025","0.62","0.60","0.64","0.58","777.05K","4.24%"
"11/18/2025","0.59","0.57","0.61","0.57","350.55K","-4.07%"
"11/17/2025","0.62","0.61","0.63","0.58","282.37K","-3.15%"
"11/14/2025","0.63","0.61","0.63","0.60","175.73K","0.00%"
"11/13/2025","0.64","0.62","0.64","0.61","38.65K","0.00%"
"11/12/2025","0.64","0.65","0.65","0.61","211.49K","2.40%"
"11/11/2025","0.63","0.65","0.65","0.60","79.64K","0.00%"
"11/10/2025","0.62","0.58","0.68","0.58","310.64K","3.33%"
"11/07/2025","0.60","0.54","0.64","0.54","376.25K","8.11%"
"11/06/2025","0.56","0.57","0.63","0.56","294.03K","-5.93%"
"11/05/2025","0.59","0.57","0.60","0.57","273.99K","-3.28%"
"11/04/2025","0.61","0.62","0.62","0.59","365.80K","0.00%"
"11/03/2025","0.61","0.64","0.64","0.61","140.56K","-4.69%"
"10/31/2025","0.64","0.62","0.67","0.62","201.39K","2.40%"
"10/30/2025","0.63","0.64","0.64","0.63","179.31K","-3.10%"
"10/29/2025","0.64","0.64","0.69","0.64","227.88K","-4.44%"
"10/28/2025","0.68","0.64","0.68","0.63","1.23M","5.47%"
"10/27/2025","0.64","0.67","0.70","0.63","788.04K","-8.57%"
"10/24/2025","0.70","0.71","0.71","0.69","381.17K","-1.41%"
"10/23/2025","0.71","0.68","0.74","0.68","459.81K","2.16%"
"10/22/2025","0.69","0.64","0.75","0.64","1.48M","3.73%"
"10/21/2025","0.67","0.70","0.80","0.60","1.37M","-8.22%"
"10/20/2025","0.73","0.79","0.79","0.71","371.20K","-2.67%"
"10/17/2025","0.75","0.80","0.80","0.67","764.59K","-5.06%"
"10/16/2025","0.79","0.88","0.90","0.70","2.40M","1.28%"
"10/15/2025","0.78","0.88","0.94","0.77","4.68M","-9.30%"
"10/14/2025","0.86","0.79","1.05","0.74","10.52M","14.67%"
