"Date","Price","Open","High","Low","Vol.","Change %"
"01/23/2026","46.30","46.50","47.10","44.90","5.35K","-1.28%"
"01/21/2026","46.90","46.20","46.90","46.20","1.00K","1.30%"
"01/20/2026","46.30","46.00","47.50","45.00","7.20K","0.22%"
"01/19/2026","46.20","47.50","47.50","46.20","15.36K","0.00%"
"01/16/2026","46.20","47.00","47.50","46.20","8.64K","-0.22%"
"01/15/2026","46.30","47.10","47.10","46.30","9.89K","-1.49%"
"01/14/2026","47.00","48.90","48.90","47.00","0.14K","0.00%"
"01/13/2026","47.00","48.00","48.00","47.00","0.16K","0.00%"
"01/12/2026","47.00","47.90","47.90","47.00","0.30K","-1.88%"
"01/09/2026","47.90","47.20","48.00","46.70","0.50K","3.23%"
"01/08/2026","46.40","50.80","50.80","46.30","1.20K","0.43%"
"01/07/2026","46.20","48.30","48.30","46.20","0.83K","-3.75%"
"01/06/2026","48.00","47.80","49.90","47.00","2.71K","0.00%"
"01/05/2026","48.00","45.70","48.30","45.70","2.04K","-0.62%"
"01/02/2026","48.30","46.00","48.90","46.00","0.73K","4.77%"
"12/30/2025","46.10","50.40","51.40","46.10","8.09K","0.00%"
"12/29/2025","46.10","47.00","47.00","45.90","6.94K","-1.91%"
"12/23/2025","47.00","47.80","50.20","47.00","3.54K","-1.67%"
"12/22/2025","47.80","47.00","47.90","47.00","2.01K","1.70%"
"12/19/2025","47.00","48.00","48.00","47.00","1.39K","-0.63%"
"12/18/2025","47.30","49.90","50.80","47.30","0.91K","0.64%"
"12/17/2025","47.00","47.30","47.30","47.00","3.43K","0.00%"
"12/16/2025","47.00","47.00","47.00","46.30","2.03K","-0.21%"
"12/15/2025","47.10","47.00","47.10","47.00","0.17K","0.21%"
"12/12/2025","47.00","49.00","49.00","47.00","1.96K","-4.08%"
"12/11/2025","49.00","48.50","49.00","47.00","5.87K","1.03%"
"12/10/2025","48.50","48.20","48.50","48.20","14.42K","0.62%"
"12/09/2025","48.20","47.90","48.50","47.80","4.24K","1.90%"
"12/08/2025","47.30","47.40","47.40","47.10","2.01K","1.50%"
"12/05/2025","46.60","48.90","48.90","46.60","3.33K","-4.51%"
"12/04/2025","48.80","46.60","48.80","46.60","0.14K","4.95%"
"12/03/2025","46.50","46.50","46.50","46.10","5.70K","0.00%"
"12/02/2025","46.50","45.30","46.50","45.30","4.27K","2.65%"
"12/01/2025","45.30","46.00","46.00","45.00","16.16K","-2.79%"
