"Date","Price","Open","High","Low","Vol.","Change %"
"01/23/2026","0.27","0.24","0.27","0.24","219.07K","10.20%"
"01/22/2026","0.25","0.24","0.26","0.24","145.04K","0.00%"
"01/21/2026","0.25","0.26","0.26","0.24","69.03K","-5.41%"
"01/20/2026","0.26","0.24","0.26","0.24","101.56K","0.00%"
"01/19/2026","0.26","0.25","0.27","0.24","168.64K","0.00%"
"01/16/2026","0.26","0.22","0.31","0.22","1.46M","14.54%"
"01/15/2026","0.23","0.22","0.24","0.22","95.50K","0.00%"
"01/14/2026","0.23","0.22","0.24","0.22","13.48K","0.00%"
"01/13/2026","0.23","0.24","0.24","0.22","51.05K","-5.02%"
"01/12/2026","0.24","0.22","0.24","0.22","121.60K","3.91%"
"01/09/2026","0.23","0.22","0.24","0.21","122.73K","0.00%"
"01/08/2026","0.23","0.20","0.24","0.20","185.03K","0.00%"
"01/07/2026","0.22","0.24","0.24","0.22","138.33K","-7.05%"
"01/06/2026","0.24","0.27","0.27","0.24","84.36K","0.00%"
"01/05/2026","0.24","0.24","0.27","0.22","205.88K","0.00%"
"01/02/2026","0.24","0.24","0.27","0.24","118.70K","0.00%"
"12/30/2025","0.25","0.23","0.27","0.23","125.66K","-5.38%"
"12/29/2025","0.26","0.24","0.28","0.23","145.93K","4.00%"
"12/23/2025","0.25","0.25","0.28","0.24","61.37K","0.00%"
"12/22/2025","0.25","0.25","0.25","0.22","190.88K","0.00%"
