"Date","Price","Open","High","Low","Vol.","Change %"
"01/23/2026","72.40","73.00","73.60","72.00","106.27K","-0.96%"
"01/22/2026","73.10","73.30","74.60","72.90","87.72K","-0.14%"
"01/21/2026","73.20","74.80","74.80","72.10","73.15K","-1.88%"
"01/20/2026","74.60","74.40","75.50","74.20","44.15K","0.54%"
"01/19/2026","74.20","77.10","77.10","73.70","81.18K","-5.24%"
"01/16/2026","78.30","78.60","79.60","77.70","51.80K","-0.38%"
"01/15/2026","78.60","79.40","79.80","78.40","32.07K","-0.51%"
"01/14/2026","79.00","77.90","79.50","77.00","47.64K","1.80%"
"01/13/2026","77.60","79.00","79.00","77.60","55.60K","0.26%"
"01/12/2026","77.40","76.50","77.80","76.40","38.22K","1.71%"
"01/09/2026","76.10","77.10","78.00","76.10","48.70K","-0.91%"
"01/08/2026","76.80","74.20","77.20","73.50","97.48K","2.95%"
"01/07/2026","74.60","74.80","75.20","73.10","73.33K","0.00%"
"01/06/2026","74.60","71.90","74.60","71.00","104.45K","5.67%"
"01/05/2026","70.60","71.70","72.00","69.00","112.51K","-1.81%"
"01/02/2026","71.90","71.40","73.30","71.40","82.04K","0.70%"
"12/30/2025","71.40","70.00","71.50","70.00","58.54K","0.99%"
"12/29/2025","70.70","69.70","71.50","69.70","63.37K","3.06%"
"12/23/2025","68.60","69.00","69.70","68.20","42.68K","-0.58%"
"12/22/2025","69.00","68.20","69.20","67.50","42.04K","0.88%"
"12/19/2025","68.40","66.80","68.40","66.40","85.11K","3.32%"
"12/18/2025","66.20","66.40","66.50","65.40","33.94K","0.30%"
"12/17/2025","66.00","66.90","67.50","66.00","66.96K","0.76%"
"12/16/2025","65.50","65.00","66.20","64.90","39.92K","1.24%"
"12/15/2025","64.70","67.00","67.00","63.80","70.22K","-3.58%"
"12/12/2025","67.10","67.00","67.80","66.70","39.93K","-0.30%"
"12/11/2025","67.30","66.50","67.50","66.30","31.91K","1.20%"
"12/10/2025","66.50","66.00","66.50","64.90","35.86K","1.22%"
"12/09/2025","65.70","66.30","66.30","64.90","17.76K","-0.61%"
"12/08/2025","66.10","67.50","67.50","65.50","27.63K","-0.30%"
"12/05/2025","66.30","64.00","66.30","63.60","71.81K","3.43%"
"12/04/2025","64.10","63.90","64.50","63.40","42.67K","0.94%"
"12/03/2025","63.50","62.60","63.70","62.60","25.18K","0.32%"
"12/02/2025","63.30","63.00","63.30","62.50","12.24K","0.64%"
"12/01/2025","62.90","63.00","63.40","62.40","38.78K","-0.16%"
"11/28/2025","63.00","62.10","63.40","62.10","66.18K","1.94%"
"11/27/2025","61.80","61.90","61.90","60.90","13.32K","0.49%"
"11/26/2025","61.50","61.80","62.20","60.30","43.51K","-0.49%"
"11/25/2025","61.80","61.00","61.90","60.50","44.69K","2.66%"
"11/24/2025","60.20","58.90","61.00","58.30","47.40K","3.79%"
"11/21/2025","58.00","58.10","58.30","57.10","32.57K","-1.53%"
"11/20/2025","58.90","59.00","59.80","58.50","15.66K","-0.17%"
"11/19/2025","59.00","59.70","60.00","58.20","34.45K","-0.34%"
"11/18/2025","59.20","60.20","60.30","58.60","13.53K","-2.63%"
"11/17/2025","60.80","58.50","61.30","58.00","55.51K","4.47%"
"11/14/2025","58.20","59.90","59.90","58.10","32.69K","-2.02%"
"11/13/2025","59.40","58.80","59.60","58.40","30.12K","1.19%"
"11/12/2025","58.70","57.40","58.90","57.40","35.80K","2.98%"
"11/11/2025","57.00","57.60","57.60","56.50","14.13K","-0.70%"
"11/10/2025","57.40","57.40","58.00","57.30","9.14K","0.00%"
"11/07/2025","57.40","57.20","58.10","56.60","49.13K","-0.17%"
"11/06/2025","57.50","58.00","58.00","57.10","24.21K","0.17%"
"11/05/2025","57.40","59.00","59.00","57.30","60.89K","-2.05%"
"11/04/2025","58.60","57.40","59.00","56.50","111.56K","1.74%"
"11/03/2025","57.60","58.20","58.20","57.20","79.83K","-1.03%"
"10/31/2025","58.20","56.20","58.50","56.00","117.75K","5.24%"
"10/30/2025","55.30","54.80","55.80","53.60","73.53K","1.47%"
"10/29/2025","54.50","56.00","56.90","53.70","547.01K","1.68%"
"10/28/2025","53.60","54.40","54.40","52.50","69.04K","0.19%"
"10/27/2025","53.50","53.30","54.00","52.00","99.57K","5.11%"
"10/24/2025","50.90","51.50","51.50","50.50","50.39K","-0.78%"
"10/23/2025","51.30","52.00","52.80","51.20","34.76K","-2.29%"
"10/22/2025","52.50","51.90","52.50","51.20","32.83K","1.16%"
"10/21/2025","51.90","52.50","52.50","51.40","43.30K","-0.38%"
"10/20/2025","52.10","53.90","53.90","51.90","36.64K","-1.33%"
"10/17/2025","52.80","53.80","53.80","52.30","124.37K","-1.68%"
"10/16/2025","53.70","55.30","56.60","53.30","108.83K","-1.10%"
"10/15/2025","54.30","53.30","55.00","53.30","23.10K","1.50%"
"10/14/2025","53.50","55.00","55.00","53.10","23.14K","-1.65%"
"10/13/2025","54.40","54.10","54.80","53.70","53.37K","-1.27%"
"10/10/2025","55.10","52.90","55.50","52.90","78.31K","4.16%"
"10/09/2025","52.90","57.50","58.50","50.80","379.91K","-8.95%"
"10/08/2025","58.10","56.90","58.40","56.90","30.37K","1.75%"
"10/07/2025","57.10","57.40","57.70","56.30","40.11K","0.00%"
"10/06/2025","57.10","58.00","58.40","57.00","56.10K","-2.39%"
"10/03/2025","58.50","58.50","59.30","58.40","24.22K","0.00%"
"10/02/2025","58.50","58.70","59.50","58.50","19.97K","-1.68%"
"10/01/2025","59.50","59.00","59.80","58.30","43.39K","1.02%"
"09/30/2025","58.90","60.00","60.80","58.90","61.18K","-0.34%"
"09/29/2025","59.10","58.00","59.10","58.00","32.76K","2.60%"
"09/26/2025","57.60","57.40","58.40","57.00","19.77K","0.52%"
"09/25/2025","57.30","57.10","57.90","57.10","28.24K","-0.17%"
"09/24/2025","57.40","57.80","58.30","57.10","38.56K","-0.86%"
"09/23/2025","57.90","58.80","59.10","57.80","54.37K","-1.53%"
"09/22/2025","58.80","59.70","59.70","58.50","50.73K","-0.84%"
"09/19/2025","59.30","59.90","60.20","59.30","66.29K","-0.34%"
"09/18/2025","59.50","59.30","60.40","59.20","34.03K","-0.50%"
"09/17/2025","59.80","59.40","59.90","58.80","42.75K","1.01%"
"09/16/2025","59.20","60.60","60.60","59.00","46.35K","-2.79%"
"09/15/2025","60.90","61.10","61.40","60.60","18.10K","0.00%"
"09/12/2025","60.90","60.80","61.20","60.50","11.62K","0.16%"
"09/11/2025","60.80","60.60","61.10","60.50","14.88K","-0.65%"
"09/10/2025","61.20","61.20","61.60","60.70","33.34K","0.16%"
"09/09/2025","61.10","61.90","61.90","61.10","15.02K","-0.16%"
"09/08/2025","61.20","61.60","62.40","61.20","21.17K","-0.81%"
"09/05/2025","61.70","61.40","62.20","61.10","38.04K","0.82%"
"09/04/2025","61.20","61.90","61.90","60.50","16.54K","0.00%"
"09/03/2025","61.20","61.20","62.50","61.20","22.50K","-0.33%"
"09/02/2025","61.40","61.40","62.60","60.90","38.42K","-0.16%"
"09/01/2025","61.50","62.00","64.00","61.40","76.84K","0.00%"
