"Date","Price","Open","High","Low","Vol.","Change %"
"01/23/2026","0.07","0.06","0.07","0.06","18.23M","15.89%"
"01/22/2026","0.06","0.06","0.06","0.06","6.38M","0.00%"
"01/21/2026","0.06","0.06","0.06","0.06","14.97M","0.00%"
"01/20/2026","0.06","0.07","0.07","0.06","31.87M","-10.66%"
"01/19/2026","0.07","0.07","0.07","0.06","24.61M","0.00%"
"01/16/2026","0.07","0.07","0.07","0.07","19.74M","0.00%"
"01/15/2026","0.07","0.07","0.07","0.07","15.30M","0.00%"
"01/14/2026","0.07","0.07","0.07","0.07","8.31M","0.00%"
"01/13/2026","0.07","0.07","0.07","0.07","8.28M","0.00%"
"01/12/2026","0.07","0.07","0.07","0.07","6.54M","0.00%"
"01/09/2026","0.07","0.08","0.08","0.07","19.10M","0.00%"
"01/08/2026","0.08","0.08","0.08","0.08","11.12M","0.00%"
"01/07/2026","0.08","0.08","0.08","0.08","3.72M","0.00%"
"01/06/2026","0.08","0.08","0.08","0.08","12.58M","0.00%"
"01/05/2026","0.08","0.09","0.09","0.07","26.67M","-9.30%"
"01/02/2026","0.09","0.09","0.09","0.08","17.80M","0.00%"
"12/30/2025","0.09","0.10","0.10","0.08","54.17M","0.00%"
"12/29/2025","0.09","0.06","0.09","0.06","116.67M","50.82%"
"12/23/2025","0.06","0.06","0.06","0.06","3.40M","0.00%"
"12/22/2025","0.06","0.06","0.06","0.06","2.09M","0.00%"
"12/19/2025","0.06","0.06","0.06","0.06","3.20M","0.00%"
"12/18/2025","0.06","0.06","0.06","0.06","8.36M","0.00%"
"12/17/2025","0.06","0.06","0.06","0.06","7.53M","0.00%"
"12/16/2025","0.06","0.06","0.06","0.05","14.49M","0.00%"
"12/15/2025","0.06","0.06","0.06","0.06","13.98M","0.00%"
"12/12/2025","0.06","0.06","0.06","0.05","6.57M","0.00%"
"12/11/2025","0.06","0.06","0.06","0.05","6.05M","0.00%"
"12/10/2025","0.06","0.06","0.06","0.06","8.98M","0.00%"
"12/09/2025","0.06","0.06","0.06","0.06","3.05M","0.00%"
"12/08/2025","0.06","0.06","0.06","0.06","8.43M","0.00%"
"12/05/2025","0.06","0.06","0.06","0.06","6.41M","0.00%"
"12/04/2025","0.06","0.06","0.06","0.06","4.54M","0.00%"
"12/03/2025","0.06","0.06","0.06","0.06","14.70M","0.00%"
"12/02/2025","0.06","0.06","0.06","0.06","15.02M","0.00%"
"12/01/2025","0.06","0.06","0.06","0.06","11.39M","0.00%"
"11/28/2025","0.06","0.06","0.06","0.06","4.76M","0.00%"
"11/27/2025","0.06","0.06","0.06","0.05","12.12M","0.00%"
"11/26/2025","0.06","0.07","0.07","0.06","17.58M","0.00%"
"11/25/2025","0.06","0.06","0.06","0.05","34.50M","0.00%"
"11/24/2025","0.06","0.07","0.07","0.06","44.66M","0.00%"
"11/21/2025","0.07","0.06","0.07","0.06","8.14M","0.00%"
"11/20/2025","0.06","0.06","0.07","0.06","10.14M","0.00%"
"11/19/2025","0.06","0.06","0.07","0.06","8.01M","0.00%"
"11/18/2025","0.06","0.07","0.07","0.06","19.12M","0.00%"
"11/17/2025","0.07","0.08","0.08","0.07","24.96M","-11.54%"
"11/14/2025","0.08","0.08","0.09","0.07","77.42M","11.43%"
"11/13/2025","0.07","0.07","0.07","0.07","2.76M","0.00%"
"11/12/2025","0.07","0.07","0.07","0.07","5.89M","0.00%"
"11/11/2025","0.07","0.08","0.08","0.07","3.76M","0.00%"
"11/10/2025","0.07","0.07","0.07","0.07","2.72M","0.00%"
"11/07/2025","0.07","0.08","0.08","0.07","9.09M","0.00%"
"11/06/2025","0.08","0.08","0.08","0.07","6.94M","0.00%"
"11/05/2025","0.07","0.07","0.07","0.07","5.76M","0.00%"
"11/04/2025","0.07","0.07","0.08","0.07","5.06M","0.00%"
"11/03/2025","0.07","0.08","0.08","0.07","2.28M","0.00%"
"10/31/2025","0.07","0.08","0.08","0.07","1.79M","0.00%"
"10/30/2025","0.07","0.08","0.08","0.07","4.25M","0.00%"
"10/29/2025","0.07","0.08","0.08","0.07","4.22M","0.00%"
"10/28/2025","0.08","0.07","0.08","0.07","20.95M","0.00%"
"10/27/2025","0.07","0.08","0.08","0.07","5.31M","0.00%"
"10/24/2025","0.07","0.08","0.08","0.07","2.42M","0.00%"
