"Date","Price","Open","High","Low","Vol.","Change %"
"01/23/2026","5.13","5.09","5.19","5.06","956.95K","0.98%"
"01/22/2026","5.08","4.72","5.16","4.72","2.75M","9.13%"
"01/21/2026","4.66","4.84","4.84","4.62","1.82M","-4.12%"
"01/20/2026","4.86","4.80","4.93","4.72","1.10M","0.31%"
"01/19/2026","4.84","4.88","4.88","4.69","1.98M","-1.83%"
"01/16/2026","4.93","4.90","4.95","4.84","480.78K","1.02%"
"01/15/2026","4.88","4.82","4.95","4.82","692.87K","0.62%"
"01/14/2026","4.85","5.00","5.00","4.79","2.05M","-3.00%"
"01/13/2026","5.00","5.08","5.08","4.95","1.22M","-2.15%"
"01/12/2026","5.11","5.21","5.25","5.07","962.77K","-1.16%"
"01/09/2026","5.17","5.08","5.18","4.99","1.36M","1.57%"
"01/08/2026","5.09","5.20","5.26","5.09","1.65M","-1.93%"
"01/07/2026","5.19","5.19","5.26","5.11","1.08M","-0.57%"
"01/06/2026","5.22","5.08","5.26","4.95","1.55M","3.37%"
"01/05/2026","5.05","5.00","5.09","4.89","2.49M","0.80%"
"01/02/2026","5.01","5.30","5.35","4.90","4.96M","-4.57%"
"12/30/2025","5.25","5.33","5.40","5.16","3.35M","-0.19%"
"12/29/2025","5.26","5.15","5.45","5.15","5.17M","2.14%"
"12/23/2025","5.15","4.89","5.24","4.89","8.75M","6.85%"
"12/22/2025","4.82","4.55","4.82","4.55","4.17M","6.87%"
"12/19/2025","4.51","4.30","4.54","4.30","2.47M","4.64%"
"12/18/2025","4.31","4.28","4.34","4.26","444.64K","-0.69%"
"12/17/2025","4.34","4.20","4.38","4.19","1.30M","2.84%"
"12/16/2025","4.22","4.16","4.26","4.13","1.73M","0.72%"
"12/15/2025","4.19","4.13","4.21","4.07","836.90K","1.95%"
"12/12/2025","4.11","4.16","4.18","4.05","889.69K","-0.48%"
"12/11/2025","4.13","4.10","4.14","4.07","746.20K","0.85%"
"12/10/2025","4.09","4.01","4.15","4.01","1.25M","1.36%"
"12/09/2025","4.04","4.16","4.16","3.98","1.53M","-1.58%"
"12/08/2025","4.11","4.22","4.22","4.08","1.10M","-2.73%"
"12/05/2025","4.22","4.26","4.29","4.20","1.51M","-0.71%"
"12/04/2025","4.25","4.28","4.41","4.23","2.75M","3.66%"
"12/03/2025","4.10","4.34","4.34","4.10","2.99M","-5.75%"
"12/02/2025","4.35","4.42","4.55","4.35","2.29M","-0.80%"
"12/01/2025","4.39","4.35","4.43","4.26","1.91M","-2.34%"
"11/28/2025","4.49","4.41","4.49","4.05","7.20M","3.46%"
"11/27/2025","4.34","4.17","4.34","4.14","2.87M","4.83%"
"11/26/2025","4.14","4.00","4.17","3.99","3.68M","3.63%"
"11/25/2025","3.99","3.81","4.04","3.80","4.83M","6.68%"
"11/24/2025","3.74","3.77","3.79","3.61","1.66M","1.35%"
"11/21/2025","3.69","3.69","3.76","3.65","1.07M","-1.07%"
"11/20/2025","3.73","3.63","3.74","3.63","2.53M","6.11%"
"11/19/2025","3.52","3.51","3.57","3.48","499.34K","0.43%"
"11/18/2025","3.51","3.58","3.58","3.50","903.82K","-2.09%"
"11/17/2025","3.58","3.66","3.70","3.55","978.74K","-0.83%"
"11/14/2025","3.61","3.65","3.68","3.58","1.17M","-2.83%"
"11/13/2025","3.71","3.70","3.73","3.64","657.52K","0.41%"
"11/12/2025","3.70","3.69","3.73","3.63","918.96K","1.93%"
"11/11/2025","3.63","3.60","3.67","3.55","664.46K","0.41%"
"11/10/2025","3.62","3.68","3.71","3.60","545.95K","0.28%"
"11/07/2025","3.61","3.74","3.74","3.60","741.34K","-2.70%"
"11/06/2025","3.70","3.64","3.82","3.64","2.95M","4.96%"
"11/05/2025","3.53","3.74","3.74","3.41","4.29M","-6.24%"
"11/04/2025","3.77","3.89","3.89","3.73","1.88M","-2.08%"
"11/03/2025","3.85","3.70","3.86","3.61","3.37M","7.70%"
"10/31/2025","3.57","3.50","3.89","3.50","5.98M","6.57%"
"10/30/2025","3.35","3.53","3.53","3.31","1.76M","-3.74%"
