"Date","Price","Open","High","Low","Vol.","Change %"
"01/23/2026","20.90","20.60","21.30","20.50","5.66K","1.95%"
"01/22/2026","20.50","20.40","20.60","20.40","15.82K","1.49%"
"01/21/2026","20.20","20.50","20.60","20.20","11.37K","-1.46%"
"01/20/2026","20.50","20.40","20.50","20.10","17.34K","0.49%"
"01/19/2026","20.40","20.60","20.60","20.40","3.51K","-1.45%"
"01/16/2026","20.70","21.30","21.30","20.10","50.06K","-2.82%"
"01/15/2026","21.30","21.30","21.30","20.80","10.75K","0.95%"
"01/14/2026","21.10","20.90","21.30","20.90","20.54K","1.44%"
"01/13/2026","20.80","21.00","21.00","20.80","14.19K","0.00%"
"01/12/2026","20.80","21.40","21.40","20.80","11.13K","-0.95%"
"01/09/2026","21.00","20.60","21.10","20.60","7.47K","1.45%"
"01/08/2026","20.70","21.00","21.00","20.70","6.36K","-1.43%"
"01/07/2026","21.00","20.50","21.00","20.50","7.12K","1.94%"
"01/06/2026","20.60","20.50","20.80","20.50","22.37K","0.00%"
"01/05/2026","20.60","20.30","20.80","20.30","6.10K","0.98%"
"01/02/2026","20.40","20.70","20.70","20.40","20.04K","-1.92%"
"12/30/2025","20.80","20.60","20.80","20.50","19.23K","0.97%"
"12/29/2025","20.60","20.60","20.60","20.20","28.37K","0.98%"
"12/23/2025","20.40","20.90","20.90","20.20","0.72K","0.00%"
"12/22/2025","20.40","20.10","20.40","20.10","22.54K","1.49%"
"12/19/2025","20.10","20.20","20.50","20.10","5.16K","-2.43%"
"12/18/2025","20.60","20.30","20.60","20.30","3.92K","0.49%"
"12/17/2025","20.50","20.20","20.50","20.20","28.32K","0.49%"
"12/16/2025","20.40","20.50","20.50","20.20","20.51K","1.49%"
"12/15/2025","20.10","20.40","20.70","20.10","2.68K","-1.95%"
"12/12/2025","20.50","20.00","20.70","20.00","12.26K","0.49%"
"12/11/2025","20.40","19.80","20.40","19.80","8.67K","0.00%"
"12/10/2025","20.40","20.30","20.50","20.20","18.21K","-0.49%"
"12/09/2025","20.50","21.00","21.00","20.20","13.86K","-0.49%"
"12/08/2025","20.60","20.40","20.70","20.00","19.52K","-0.48%"
"12/05/2025","20.70","19.80","20.70","19.70","24.55K","4.55%"
"12/04/2025","19.80","19.60","20.10","19.60","26.46K","-0.25%"
"12/03/2025","19.85","19.50","19.85","19.40","66.32K","0.76%"
"12/02/2025","19.70","20.10","20.10","19.55","51.96K","-0.51%"
"12/01/2025","19.80","20.20","20.20","19.70","35.09K","-1.00%"
"11/28/2025","20.00","20.20","20.30","20.00","7.98K","0.00%"
"11/27/2025","20.00","20.50","20.50","20.00","14.23K","-0.99%"
"11/26/2025","20.20","20.70","20.70","20.20","12.11K","-0.49%"
"11/25/2025","20.30","20.20","20.60","20.20","8.43K","1.00%"
"11/24/2025","20.10","20.10","20.30","20.10","3.21K","-0.99%"
"11/21/2025","20.30","20.20","20.30","20.20","0.50K","0.00%"
"11/20/2025","20.30","19.85","20.40","19.85","15.35K","1.00%"
"11/19/2025","20.10","20.10","20.10","20.10","0.02K","-0.99%"
"11/18/2025","20.30","20.70","20.70","20.00","7.77K","1.00%"
"11/17/2025","20.10","20.70","20.70","19.80","233.18K","-1.95%"
"11/14/2025","20.50","20.30","20.60","20.30","2.50K","0.99%"
"11/13/2025","20.30","20.80","20.80","20.30","16.39K","-0.98%"
"11/12/2025","20.50","21.50","21.50","20.50","15.20K","-0.49%"
"11/11/2025","20.60","21.50","21.50","20.40","15.03K","0.00%"
"11/10/2025","20.60","20.00","20.90","20.00","24.38K","1.48%"
"11/07/2025","20.30","19.90","20.50","19.75","61.11K","2.78%"
"11/06/2025","19.75","21.30","21.30","19.50","74.92K","-6.84%"
"11/05/2025","21.20","21.60","22.00","21.00","19.50K","-1.85%"
"11/04/2025","21.60","21.90","22.10","21.50","11.40K","0.47%"
"11/03/2025","21.50","21.80","21.80","21.40","10.28K","-1.38%"
"10/31/2025","21.80","22.00","22.00","21.50","38.21K","-1.36%"
"10/30/2025","22.10","22.00","22.50","22.00","7.62K","-1.34%"
"10/29/2025","22.40","22.50","22.50","21.90","28.58K","0.45%"
"10/28/2025","22.30","22.40","22.50","22.20","10.93K","0.45%"
"10/27/2025","22.20","22.10","22.20","21.50","16.78K","0.45%"
"10/24/2025","22.10","22.00","22.10","21.40","0.44K","0.45%"
"10/23/2025","22.00","21.00","22.10","21.00","16.03K","1.38%"
"10/21/2025","21.70","21.10","21.80","20.40","118.56K","1.88%"
"10/20/2025","21.30","21.70","21.90","21.30","10.39K","-1.84%"
"10/17/2025","21.70","21.60","21.70","21.00","23.23K","0.93%"
"10/16/2025","21.50","21.50","22.00","21.10","31.20K","-1.38%"
"10/15/2025","21.80","22.10","22.40","21.50","84.61K","-2.68%"
"10/14/2025","22.40","22.80","22.80","22.20","7.53K","-1.75%"
"10/13/2025","22.80","22.20","22.80","22.20","7.08K","1.33%"
"10/10/2025","22.50","22.70","23.20","22.10","15.88K","-2.60%"
"10/09/2025","23.10","23.70","23.70","22.80","9.83K","0.00%"
"10/08/2025","23.10","23.00","23.10","22.60","8.62K","0.00%"
"10/07/2025","23.10","22.70","23.10","22.70","10.09K","0.00%"
"10/06/2025","23.10","22.80","23.10","22.80","6.92K","0.43%"
"10/03/2025","23.00","22.80","23.00","22.20","74.35K","0.44%"
"10/02/2025","22.90","23.30","23.30","22.80","8.51K","0.44%"
"10/01/2025","22.80","23.30","23.30","22.80","20.64K","0.00%"
"09/30/2025","22.80","23.50","23.50","22.80","66.16K","-3.80%"
"09/29/2025","23.70","23.10","23.70","23.10","6.89K","2.60%"
"09/26/2025","23.10","23.10","23.30","23.10","14.44K","-0.43%"
"09/25/2025","23.20","23.30","23.30","23.20","0.34K","0.43%"
"09/24/2025","23.10","23.20","23.20","23.10","0.57K","-1.70%"
"09/23/2025","23.50","23.50","23.50","23.30","1.54K","0.43%"
"09/22/2025","23.40","23.30","23.40","23.10","34.84K","-1.27%"
"09/19/2025","23.70","23.80","23.80","23.20","6.46K","0.00%"
"09/18/2025","23.70","23.80","23.80","23.40","0.24K","1.28%"
"09/17/2025","23.40","23.20","23.40","23.20","1.16K","0.43%"
"09/16/2025","23.30","23.30","23.40","23.30","3.13K","-1.27%"
"09/15/2025","23.60","23.70","23.70","23.30","1.26K","-0.42%"
"09/12/2025","23.70","23.20","23.70","23.20","10.04K","2.16%"
"09/11/2025","23.20","23.40","23.40","23.20","3.71K","0.43%"
"09/10/2025","23.10","23.60","23.70","23.10","9.54K","-1.28%"
"09/09/2025","23.40","23.10","23.40","23.10","3.82K","0.00%"
"09/08/2025","23.40","23.20","23.40","23.20","0.89K","0.43%"
"09/05/2025","23.30","23.50","23.50","23.30","12.08K","-0.85%"
"09/04/2025","23.50","23.50","23.50","23.30","4.04K","0.43%"
"09/03/2025","23.40","23.90","23.90","23.40","7.02K","0.00%"
"09/02/2025","23.40","23.60","23.60","23.40","14.27K","-2.09%"
"09/01/2025","23.90","24.00","24.00","23.30","8.80K","0.42%"
"08/29/2025","23.80","24.30","24.30","23.60","2.10K","0.42%"
"08/28/2025","23.70","24.00","24.00","23.70","5.84K","-0.84%"
"08/27/2025","23.90","23.90","23.90","23.50","12.55K","0.84%"
"08/26/2025","23.70","23.70","23.80","23.70","7.61K","-0.84%"
"08/25/2025","23.90","23.70","23.90","23.50","26.22K","0.42%"
"08/22/2025","23.80","23.70","24.00","23.70","9.53K","-0.42%"
"08/21/2025","23.90","24.00","24.40","23.90","13.66K","-0.42%"
"08/20/2025","24.00","23.60","24.10","23.60","10.73K","0.00%"
"08/19/2025","24.00","23.80","24.10","23.80","1.10K","-0.41%"
"08/18/2025","24.10","24.40","24.40","23.60","107.15K","-1.23%"
"08/15/2025","24.40","24.50","25.30","24.20","163.44K","1.24%"
"08/14/2025","24.10","24.50","24.60","24.00","17.76K","-2.03%"
"08/13/2025","24.60","24.10","24.60","23.90","3.86K","2.50%"
"08/12/2025","24.00","24.50","24.50","23.90","55.38K","-1.64%"
"08/11/2025","24.40","24.60","24.60","24.40","1.28K","-0.41%"
"08/08/2025","24.50","24.60","24.60","24.50","2.71K","-0.41%"
"08/07/2025","24.60","24.10","24.90","24.10","2.53K","0.00%"
"08/06/2025","24.60","24.40","24.60","24.40","14.21K","0.82%"
"08/05/2025","24.40","24.30","24.60","24.30","15.21K","0.41%"
"08/04/2025","24.30","24.80","24.80","24.30","4.84K","0.00%"
"08/01/2025","24.30","24.50","24.60","24.30","8.16K","-0.82%"
"07/31/2025","24.50","24.20","24.50","24.20","0.15K","0.00%"
"07/30/2025","24.50","24.30","24.50","24.20","22.71K","1.24%"
"07/29/2025","24.20","24.50","24.50","24.10","3.74K","1.26%"
"07/28/2025","23.90","24.60","24.60","23.90","42.19K","-2.45%"
"07/25/2025","24.50","24.60","24.60","24.30","14.50K","1.66%"
"07/24/2025","24.10","24.50","24.50","24.10","5.54K","0.00%"
"07/23/2025","24.10","24.20","24.30","24.10","25.60K","-0.41%"
"07/22/2025","24.20","24.10","24.30","24.10","12.85K","-0.41%"
"07/21/2025","24.30","24.40","24.40","24.10","18.83K","-0.41%"
"07/18/2025","24.40","24.10","24.50","24.10","8.56K","-0.41%"
"07/17/2025","24.50","24.50","24.50","24.00","21.34K","0.00%"
"07/16/2025","24.50","24.40","24.50","24.10","8.05K","0.41%"
"07/15/2025","24.40","24.90","24.90","24.00","21.50K","2.09%"
"07/14/2025","23.90","24.00","24.30","23.90","11.99K","-0.42%"
"07/11/2025","24.00","24.30","24.30","23.60","83.70K","-2.83%"
"07/10/2025","24.70","24.50","24.70","23.90","26.12K","0.82%"
"07/09/2025","24.50","25.00","25.00","24.20","4.96K","1.24%"
"07/08/2025","24.20","24.80","24.80","24.20","8.04K","-2.42%"
"07/07/2025","24.80","25.00","25.00","24.10","6.82K","2.06%"
"07/04/2025","24.30","24.30","24.40","24.30","11.02K","0.00%"
"07/03/2025","24.30","24.40","24.50","24.10","6.62K","-1.22%"
"07/02/2025","24.60","24.70","24.70","24.40","23.20K","-0.81%"
"07/01/2025","24.80","24.70","24.80","24.70","1.45K","-0.40%"
"06/30/2025","24.90","24.70","24.90","24.70","8.30K","0.40%"
"06/27/2025","24.80","24.90","24.90","24.40","5.06K","2.48%"
"06/26/2025","24.20","24.30","24.90","24.20","5.36K","-3.20%"
"06/25/2025","25.00","25.20","25.20","24.10","103.06K","-1.19%"
"06/24/2025","25.30","24.10","25.30","24.10","37.37K","1.61%"
"06/23/2025","24.90","24.10","25.00","24.10","39.58K","3.32%"
"06/20/2025","24.10","24.20","24.50","24.00","20.59K","-1.63%"
"06/19/2025","24.50","24.00","24.50","24.00","16.73K","0.41%"
"06/18/2025","24.40","24.40","24.40","24.10","14.49K","0.00%"
"06/17/2025","24.40","25.10","25.10","24.10","12.01K","0.83%"
"06/16/2025","24.20","25.10","25.10","24.20","24.78K","-0.41%"
"06/13/2025","24.30","24.30","24.30","24.10","12.73K","0.00%"
"06/12/2025","24.30","24.00","24.30","24.00","2.69K","0.41%"
"06/11/2025","24.20","24.20","24.20","24.00","36.15K","0.00%"
"06/10/2025","24.20","25.00","25.00","24.20","8.38K","0.00%"
"06/06/2025","24.20","24.30","24.50","24.20","13.18K","-0.41%"
"06/05/2025","24.30","24.10","25.00","24.10","3.23K","-0.82%"
"06/04/2025","24.50","25.70","25.70","24.10","11.39K","-5.04%"
"06/03/2025","25.80","26.30","26.30","25.60","14.03K","-1.90%"
"06/02/2025","26.30","26.00","26.30","25.20","21.68K","1.15%"
"05/30/2025","26.00","26.00","26.40","25.50","14.66K","0.00%"
"05/28/2025","26.00","25.20","26.00","25.10","11.10K","3.59%"
"05/27/2025","25.10","25.00","25.10","24.90","7.67K","0.40%"
"05/26/2025","25.00","24.60","25.00","24.60","10.81K","1.63%"
"05/23/2025","24.60","24.80","25.00","24.60","22.63K","0.00%"
"05/22/2025","24.60","24.50","24.80","24.50","14.10K","-1.60%"
"05/21/2025","25.00","26.00","26.00","24.90","14.55K","0.00%"
"05/20/2025","25.00","25.00","25.00","24.50","3.70K","0.00%"
"05/19/2025","25.00","25.20","25.20","24.40","17.84K","0.81%"
"05/16/2025","24.80","24.30","24.90","24.30","39.53K","0.00%"
"05/15/2025","24.80","24.70","25.00","24.50","11.08K","0.00%"
"05/14/2025","24.80","25.00","25.00","24.80","19.62K","-0.80%"
"05/13/2025","25.00","24.80","25.00","24.50","10.64K","0.81%"
"05/12/2025","24.80","24.80","24.80","24.00","35.61K","1.22%"
"05/09/2025","24.50","24.50","24.50","23.90","33.41K","0.00%"
"05/08/2025","24.50","25.70","25.70","24.50","18.86K","-2.00%"
"05/07/2025","25.00","25.00","25.50","24.50","178.86K","-2.72%"
"05/06/2025","25.70","25.40","25.70","24.00","1.98M","1.18%"
"05/05/2025","25.40","25.20","25.50","25.10","32.33K","1.20%"
"05/02/2025","25.10","25.80","25.80","25.10","18.56K","-2.33%"
"04/30/2025","25.70","25.80","25.80","24.80","34.16K","0.78%"
