"Date","Price","Open","High","Low","Vol.","Change %"
"01/23/2026","14.80","14.80","14.80","14.50","10.09K","0.09%"
"01/22/2026","14.79","14.79","14.79","14.70","22.65K","0.93%"
"01/21/2026","14.65","14.80","14.80","14.52","18.70K","-1.01%"
"01/20/2026","14.80","14.80","14.80","14.40","12.40K","0.00%"
"01/19/2026","14.80","15.30","15.40","14.50","34.65K","-2.95%"
"01/16/2026","15.25","13.79","15.99","13.79","107.68K","11.31%"
"01/15/2026","13.70","13.70","13.80","13.50","15.66K","0.00%"
"01/14/2026","13.70","13.71","13.75","13.70","5.22K","-0.09%"
"01/13/2026","13.71","14.10","14.10","13.70","5.52K","-2.06%"
"01/12/2026","14.00","14.18","14.18","13.70","8.18K","0.36%"
"01/09/2026","13.95","14.00","14.00","13.50","4.26K","-0.36%"
"01/08/2026","14.00","13.25","14.25","13.25","1.45K","0.73%"
"01/07/2026","13.90","14.20","14.20","13.40","3.20K","3.69%"
"01/06/2026","13.40","14.39","14.39","13.20","5.69K","-3.91%"
"01/05/2026","13.95","13.50","13.97","13.00","14.62K","-0.36%"
"01/02/2026","14.00","13.70","14.45","12.90","30.46K","1.45%"
"12/30/2025","13.80","14.30","14.35","13.80","23.22K","-4.17%"
"12/29/2025","14.40","14.80","14.99","14.10","35.98K","-2.04%"
"12/23/2025","14.70","15.30","15.30","14.53","81.64K","-4.48%"
"12/22/2025","15.39","15.30","15.80","14.90","94.18K","2.60%"
"12/19/2025","15.00","14.70","15.50","13.60","137.70K","-1.96%"
"12/18/2025","15.30","12.40","16.00","12.40","378.91K","28.59%"
"12/17/2025","11.90","11.50","12.80","11.50","33.12K","6.23%"
"12/16/2025","11.20","10.50","13.50","10.50","174.10K","8.32%"
"12/15/2025","10.34","9.55","10.43","9.55","39.76K","8.84%"
"12/12/2025","9.50","9.05","9.55","9.05","52.79K","2.81%"
"12/11/2025","9.24","9.00","9.60","9.00","7.16K","-0.65%"
"12/10/2025","9.30","9.30","9.30","9.00","1.27K","0.00%"
"12/09/2025","9.30","9.20","9.79","9.00","12.36K","0.22%"
"12/08/2025","9.28","8.90","9.50","8.90","22.36K","-0.91%"
"12/05/2025","9.36","9.80","9.80","8.70","16.37K","1.25%"
"12/04/2025","9.25","8.61","9.25","8.61","1.62K","2.24%"
"12/03/2025","9.05","8.55","9.13","8.55","6.32K","4.64%"
"12/02/2025","8.65","8.62","8.75","8.51","12.60K","-0.63%"
"12/01/2025","8.70","9.00","9.00","8.66","8.15K","-3.33%"
"11/28/2025","9.00","8.80","9.00","8.50","11.42K","2.27%"
"11/27/2025","8.80","8.81","9.00","8.80","5.50K","-3.30%"
"11/26/2025","9.10","9.00","9.80","8.81","11.24K","1.11%"
"11/25/2025","9.00","9.00","9.00","8.70","11.68K","-0.66%"
"11/24/2025","9.06","8.41","9.06","8.41","12.28K","1.80%"
"11/21/2025","8.90","8.79","8.90","8.20","49.26K","1.14%"
"11/20/2025","8.80","8.80","8.80","8.50","18.99K","0.00%"
"11/19/2025","8.80","8.62","9.04","8.62","19.37K","-2.20%"
"11/18/2025","9.00","9.80","9.80","8.60","17.24K","0.00%"
"11/17/2025","9.00","9.00","9.86","8.70","3.31K","1.61%"
"11/14/2025","8.86","8.90","9.00","8.54","10.27K","-0.48%"
"11/13/2025","8.90","9.45","9.47","8.73","145.81K","-8.25%"
"11/12/2025","9.70","9.89","9.89","9.40","30.34K","-1.92%"
"11/11/2025","9.89","10.19","10.19","9.75","1.19K","0.95%"
"11/10/2025","9.80","9.70","10.19","9.60","10.12K","-2.03%"
"11/07/2025","10.00","9.60","10.20","9.60","30.30K","0.00%"
"11/06/2025","10.00","9.80","10.10","9.60","17.80K","2.02%"
"11/05/2025","9.80","10.20","10.20","9.80","7.62K","-2.60%"
"11/04/2025","10.06","10.46","10.46","9.95","82.70K","-5.25%"
"11/03/2025","10.62","10.62","10.90","10.62","14.54K","-3.45%"
"10/31/2025","11.00","10.90","11.20","10.86","1.26K","-1.77%"
"10/30/2025","11.20","11.00","11.80","10.90","9.66K","-3.45%"
"10/29/2025","11.60","11.00","12.00","11.00","3.41K","2.10%"
"10/28/2025","11.36","11.12","11.36","11.12","2.16K","-1.20%"
"10/27/2025","11.50","11.60","11.60","11.12","2.74K","-1.66%"
"10/24/2025","11.69","11.90","11.90","11.20","10.84K","-1.83%"
"10/23/2025","11.91","11.26","11.91","11.26","0.42K","5.81%"
"10/22/2025","11.26","11.19","11.60","11.00","1.45K","-2.10%"
"10/21/2025","11.50","11.00","11.70","11.00","1.20K","0.00%"
"10/20/2025","11.50","11.50","11.50","11.01","1.96K","0.90%"
"10/17/2025","11.40","11.68","11.87","11.00","2.15K","-2.60%"
"10/16/2025","11.70","11.01","11.70","10.82","16.24K","6.27%"
"10/15/2025","11.01","11.30","11.76","11.01","4.51K","-1.75%"
"10/14/2025","11.21","12.12","12.49","11.00","31.72K","-7.51%"
"10/13/2025","12.12","11.80","12.60","10.70","23.92K","2.68%"
"10/10/2025","11.80","10.70","12.00","10.34","19.61K","5.36%"
"10/09/2025","11.20","11.54","12.49","10.70","54.66K","1.82%"
"10/08/2025","11.00","11.50","11.50","10.60","8.47K","2.33%"
"10/07/2025","10.75","11.43","11.43","10.32","32.47K","-4.02%"
"10/06/2025","11.20","11.49","11.49","10.86","4.40K","-2.56%"
"10/03/2025","11.49","11.20","11.80","10.99","27.67K","-3.82%"
"10/02/2025","11.95","12.00","12.00","11.20","9.37K","0.54%"
"10/01/2025","11.89","11.87","11.89","11.50","1.49K","-0.87%"
"09/30/2025","11.99","12.00","12.00","11.30","35.25K","-0.93%"
"09/29/2025","12.10","13.00","13.00","12.06","0.48K","-3.18%"
"09/26/2025","12.50","12.50","12.70","12.10","23.51K","-0.21%"
"09/25/2025","12.53","12.40","12.75","12.40","4.84K","1.84%"
"09/24/2025","12.30","12.65","12.65","12.30","2.91K","-1.60%"
"09/23/2025","12.50","12.50","13.00","12.50","9.62K","-1.57%"
"09/22/2025","12.70","13.00","13.50","12.50","12.76K","-2.31%"
"09/19/2025","13.00","12.50","13.50","12.50","11.68K","3.17%"
"09/18/2025","12.60","12.60","12.78","12.60","3.92K","-0.79%"
"09/17/2025","12.70","13.20","13.20","12.70","3.16K","-4.35%"
"09/16/2025","13.28","12.60","13.29","12.60","7.03K","-0.17%"
"09/15/2025","13.30","12.65","13.30","12.65","4.24K","5.14%"
"09/12/2025","12.65","13.00","13.00","12.65","1.70K","-1.94%"
"09/11/2025","12.90","12.70","13.10","12.55","23.37K","-4.35%"
"09/10/2025","13.49","13.50","13.50","13.00","9.66K","-0.06%"
"09/09/2025","13.49","13.70","13.70","12.71","9.00K","-0.31%"
"09/08/2025","13.54","13.40","13.54","13.30","0.74K","1.55%"
"09/05/2025","13.33","12.81","13.34","12.80","17.31K","0.98%"
"09/04/2025","13.20","14.00","14.00","13.20","3.30K","-2.22%"
"09/03/2025","13.50","13.50","13.50","13.50","0.34K","-0.07%"
"09/02/2025","13.51","13.51","13.72","13.51","4.56K","0.06%"
"09/01/2025","13.50","14.00","14.00","13.10","2.63K","-6.16%"
"08/29/2025","14.39","14.40","14.40","13.50","0.66K","3.81%"
"08/28/2025","13.86","14.50","14.50","13.85","4.04K","-4.29%"
"08/27/2025","14.48","13.70","14.50","13.70","0.82K","1.29%"
"08/26/2025","14.30","13.50","14.30","13.50","1.99K","2.13%"
"08/25/2025","14.00","14.50","14.50","13.60","2.88K","0.00%"
"08/22/2025","14.00","14.00","14.50","13.70","3.28K","0.00%"
"08/21/2025","14.00","13.80","14.00","13.58","2.71K","1.45%"
"08/20/2025","13.80","13.80","13.80","13.00","3.04K","2.21%"
