ticker,rows,missing,missing_pct,first_date_in_df,last_date_in_df,first_valid_date,last_valid_date
GOGL.OL,5028,5028,1.0,2006-02-20,2026-02-19,,
VAR.OL,5028,4021,0.7997215592680986,2006-02-20,2026-02-19,2022-02-16,2026-02-19
HAUTO.OL,5028,3966,0.788782816229117,2006-02-20,2026-02-19,2021-11-29,2026-02-19
HAFNI.OL,5028,3451,0.6863564041368337,2006-02-20,2026-02-19,2019-11-08,2026-02-19
MPCC.OL,5028,2837,0.5642402545743834,2006-02-20,2026-02-19,2017-05-31,2026-02-19
BWLPG.OL,5028,1956,0.38902147971360385,2006-02-20,2026-02-19,2013-11-21,2026-02-19
GJF.OL,5028,1214,0.24144789180588702,2006-02-20,2026-02-19,2010-12-10,2026-02-19
WAWI.OL,5028,1093,0.21738265712012728,2006-02-20,2026-02-19,2010-06-24,2026-02-19
AKRBP.OL,5028,730,0.14518695306284804,2006-02-20,2026-02-19,2009-01-09,2026-02-19
SALM.OL,5028,309,0.06145584725536993,2006-02-20,2026-02-19,2007-05-08,2026-02-19
DNB.OL,5028,0,0.0,2006-02-20,2026-02-19,2006-02-20,2026-02-19
EQNR.OL,5028,0,0.0,2006-02-20,2026-02-19,2006-02-20,2026-02-19
FRO.OL,5028,0,0.0,2006-02-20,2026-02-19,2006-02-20,2026-02-19
KOG.OL,5028,0,0.0,2006-02-20,2026-02-19,2006-02-20,2026-02-19
MOWI.OL,5028,0,0.0,2006-02-20,2026-02-19,2006-02-20,2026-02-19
NAS.OL,5028,0,0.0,2006-02-20,2026-02-19,2006-02-20,2026-02-19
NHY.OL,5028,0,0.0,2006-02-20,2026-02-19,2006-02-20,2026-02-19
NOD.OL,5028,0,0.0,2006-02-20,2026-02-19,2006-02-20,2026-02-19
ORK.OL,5028,0,0.0,2006-02-20,2026-02-19,2006-02-20,2026-02-19
STB.OL,5028,0,0.0,2006-02-20,2026-02-19,2006-02-20,2026-02-19
SUBC.OL,5028,0,0.0,2006-02-20,2026-02-19,2006-02-20,2026-02-19
TEL.OL,5028,0,0.0,2006-02-20,2026-02-19,2006-02-20,2026-02-19
TGS.OL,5028,0,0.0,2006-02-20,2026-02-19,2006-02-20,2026-02-19
TOM.OL,5028,0,0.0,2006-02-20,2026-02-19,2006-02-20,2026-02-19
YAR.OL,5028,0,0.0,2006-02-20,2026-02-19,2006-02-20,2026-02-19
